VARSIG2	javasymbolnam symbol fieldnam field 
COMMENTS	token repres field jpa entiti constructor field 
CLASSES	fieldtoken field token 
VARSIG1	fieldtoken field token 
VARSIG0	fieldmetadata field metadata field 
METHODS	fieldtoken field token compareto compar getfield field getfieldnam field getvalu setfieldnam set field 
MTHSIG4	getvalu 
MTHSIG5	setfieldnam set field javasymbolnam symbol fieldnam field 
MTHSIG0	fieldtoken field token fieldmetadata field metadata field 
MTHSIG1	compareto compar fieldtoken field token 
PACKAGE	springframework roo addon finder 
MTHSIG2	getfield field 
MTHSIG3	getfieldnam field 
VARIABLES	field fieldnam field field fieldnam field 
