VARSIG7	fieldmetadata field metadata field 
VARSIG6	javasymbolnam symbol fieldnam field 
VARSIG9	classorinterfacetypedetail type detail cid 
VARSIG8	javatyp type typenam type 
VARSIG3	collect annotationmetadata annot metadata annot 
VARSIG2	modifi 
VARSIG5	constructormetadata constructor metadata constructor 
VARSIG4	list javatyp type paramet 
COMMENTS	conveni superclass link memberholdingtypedetail member hold type detail implement constructor customdata custom data declaredbymetadataid declar metadata modifi annot annot field propos field differenti deriv uniqu 
VARSIG1	declaredbymetadataid declar metadata 
VARSIG18	javatyp type interfacetyp type 
VARSIG0	customdata custom data customdata custom data 
VARSIG17	proposednam propos 
MTHSIG4	getfield field javasymbolnam symbol fieldnam field 
VARSIG12	fieldmetadata field metadata field 
MTHSIG5	getfieldswithannot field annot javatyp type annot 
VARSIG11	javatyp type annot 
MTHSIG6	getlayerent layer entiti 
VARSIG10	javasymbolnam symbol fieldnam field 
MTHSIG7	getmethod javasymbolnam symbol methodnam 
MTHSIG0	abstractmemberholdingtypedetail member hold type detail customdata custom data customdata custom data declaredbymetadataid declar metadata modifi collect annotationmetadata annot metadata annot 
VARSIG16	methodmetadata metadata 
MTHSIG1	getdeclaredconstructor declar constructor list javatyp type paramet 
VARSIG15	list javatyp type paramet 
PACKAGE	springframework roo classpath detail 
MTHSIG2	getdeclaredfield declar field javasymbolnam symbol fieldnam field 
VARSIG14	javasymbolnam symbol methodnam 
MTHSIG3	getdeclaredinnertyp declar type javatyp type typenam type 
VARSIG13	javasymbolnam symbol methodnam 
MTHSIG8	getmethod javasymbolnam symbol methodnam list javatyp type paramet 
MTHSIG9	getmethod method 
MTHSIG11	implementstyp type javatyp type interfacetyp type 
CLASSES	abstractmemberholdingtypedetail member hold type detail 
METHODS	abstractmemberholdingtypedetail member hold type detail getdeclaredconstructor declar constructor getdeclaredfield declar field getdeclaredinnertyp declar type getfield field getfieldswithannot field annot getlayerent layer entiti getmethod getmethod getmethod method getuniquefieldnam uniqu field implementstyp type 
MTHSIG10	getuniquefieldnam uniqu field proposednam propos 
VARIABLES	customdata custom data declaredbymetadataid declar metadata modifi annot paramet constructor fieldnam field field typenam type cid fieldnam field annot field methodnam methodnam paramet proposednam propos interfacetyp type parameterlist paramet list current result result current entiti current result current result result current candidatenam candid 
