VARSIG7	optioncontext option context 
VARSIG6	existingdata exist data 
VARSIG9	requiredtyp requir type 
VARSIG8	methodtarget target target 
VARSIG3	token 
VARSIG2	optioncontext option context 
VARSIG5	requiredtyp requir type 
VARSIG4	list complet complet 
COMMENTS	 
CLASSES	stringlistconvert list convert 
VARSIG1	requiredtyp requir type 
VARSIG0	 
METHODS	convertfromtext convert text getallpossiblevalu valu support 
VARSIG10	optioncontext option context 
MTHSIG0	convertfromtext convert text requiredtyp requir type optioncontext option context 
MTHSIG1	getallpossiblevalu valu list complet complet requiredtyp requir type existingdata exist data optioncontext option context methodtarget target target 
PACKAGE	springframework roo addon cloud foundri convert 
MTHSIG2	support requiredtyp requir type optioncontext option context 
VARIABLES	requiredtyp requir type optioncontext option context token complet requiredtyp requir type existingdata exist data optioncontext option context target requiredtyp requir type optioncontext option context token tokenlist token list 
