VARSIG7	clioption cli option kei hostserv host server mandatori host server hostserv host server 
VARSIG6	clioption cli option kei async mandatori unspecifieddefaultvalu unspecifi specifieddefaultvalu inject execut asynchron async 
VARSIG9	clioption cli option kei port mandatori port mail server port 
VARSIG8	clioption cli option kei protocol mandatori protocol mail server mailprotocol mail protocol protocol 
VARSIG3	componentcontext compon context context 
VARSIG2	clioption cli option kei subject mandatori messag subject obtion subject 
VARSIG5	clioption cli option kei mandatori unspecifieddefaultvalu unspecifi optioncontext option context updat project receiv field javatyp type typenam type 
VARSIG4	clioption cli option kei fieldnam field mandatori specifieddefaultvalu mailtempl mail templat unspecifieddefaultvalu unspecifi mailtempl mail templat field add javasymbolnam symbol fieldnam field 
COMMENTS	command email add roo shell mail templat command call link ismailtemplateavail mail templat mail templat command 
VARSIG1	clioption cli option kei mandatori email option 
VARSIG0	componentcontext compon context context 
MTHSIG4	installemail instal email hostserv host server mailprotocol mail protocol protocol port encod usernam password 
VARSIG12	clioption cli option kei password mandatori mail account password password 
MTHSIG5	isinsertjmsavail insert jm 
VARSIG11	clioption cli option kei usernam mandatori mail account usernam usernam 
MTHSIG6	isinstallemailavail instal email 
VARSIG10	clioption cli option kei encod mandatori encod mail encod 
MTHSIG7	ismailtemplateavail mail templat 
MTHSIG0	activ componentcontext compon context context 
MTHSIG1	configureemailtempl configur email templat subject 
PACKAGE	springframework roo addon email 
MTHSIG2	deactiv componentcontext compon context context 
MTHSIG3	injectemailtempl inject email templat javasymbolnam symbol fieldnam field javatyp type typenam type async 
CLASSES	mailcommand mail command 
METHODS	activ configureemailtempl configur email templat deactiv injectemailtempl inject email templat installemail instal email isinsertjmsavail insert jm isinstallemailavail instal email ismailtemplateavail mail templat 
VARIABLES	context subject context fieldnam field typenam type async hostserv host server protocol port encod usernam password mailoper mail oper staticfieldconvert field convert 
