VARSIG7	cloudfoundri cloud foundri 
VARSIG6	 
VARSIG9	ioexcept except 
VARSIG8	modulenam modul 
VARSIG3	modulenam modul 
VARSIG2	testautomat test automat 
VARSIG5	password 
VARSIG4	usernam 
COMMENTS	link mongooper mongo oper implement type exist type exist build type 
VARSIG19	javatyp type interfacetyp type 
VARSIG1	javatyp type idtyp type 
VARSIG18	cloudfoundri cloud foundri 
VARSIG0	javatyp type classtyp type 
VARSIG17	host 
MTHSIG4	isrepositoryinstallationposs repositori instal 
VARSIG12	element repositoryel repositori element 
MTHSIG5	manageappctx manag app ctx usernam password cloudfoundri cloud foundri modulenam modul 
VARSIG11	element dependencyel depend element 
MTHSIG6	managedepend manag depend modulenam modul 
VARSIG10	modulenam modul 
MTHSIG7	setup usernam password port host cloudfoundri cloud foundri 
MTHSIG0	createtyp creat type javatyp type classtyp type javatyp type idtyp type testautomat test automat 
VARSIG16	port 
MTHSIG1	getnam 
VARSIG15	 
PACKAGE	springframework roo addon layer repositori mongo 
MTHSIG2	isinstalledinmodul instal modul modulenam modul 
VARSIG14	password 
MTHSIG3	ismongoinstallationposs mongo instal 
VARSIG13	usernam 
MTHSIG8	setuprepositori setup repositori javatyp type interfacetyp type javatyp type domaintyp domain type 
MTHSIG9	writeproperti write properti usernam password port host modulenam modul 
CLASSES	mongooperationsimpl mongo oper impl 
METHODS	createtyp creat type getnam isinstalledinmodul instal modul ismongoinstallationposs mongo instal isrepositoryinstallationposs repositori instal manageappctx manag app ctx managedepend manag depend setup setuprepositori setup repositori writeproperti write properti 
VARSIG23	 
VARSIG22	password 
VARSIG21	usernam 
VARSIG20	javatyp type domaintyp domain type 
VARSIG26	modulenam modul 
VARSIG25	host 
VARSIG24	port 
VARIABLES	classtyp type idtyp type testautomat test automat modulenam modul usernam password cloudfoundri cloud foundri modulenam modul modulenam modul dependencyel depend element repositoryel repositori element usernam password port host cloudfoundri cloud foundri interfacetyp type domaintyp domain type usernam password port host modulenam modul mongo xml dataondemandoper data demand oper filemanag file manag integrationtestoper integr test oper pathresolv path resolv projectoper project oper propfileoper prop file oper typelocationservic type locat servic typemanagementservic type manag servic classidentifi identifi classmdid cidbuild cid builder attribut appctxid app ctx inputstream input stream outputstream output stream mutablefil mutabl file input document root mongosetup mongo setup mongocloudsetup mongo cloud setup configur depend springdepend spring depend repositori repositoryel repositori element modulenam modul interfaceidentifi identifi interfaceannotationmetadata annot metadata interfacemdid cidbuild cid builder listtyp list type properti 
