VARSIG3	annotationmetadata annot metadata annot 
VARSIG2	fieldmetadata field metadata field 
VARSIG5	classorinterfacetypedetail type detail cid 
VARSIG4	classorinterfacetypedetail type detail cid 
COMMENTS	implement link typemanagementservic type manag servic physic type mutabl detail ensur physic type mutabl detail automat add jsr bean valid api support current jsr support jsr annot version repres version user user depend list 
CLASSES	typemanagementserviceimpl type manag servic impl 
VARSIG1	javasymbolnam symbol constantnam constant 
VARSIG0	physicaltypeidentifi physic type identifi 
METHODS	addenumconst add constant addfield add field createorupdatetypeondisk creat updat type disk generateclassfil gener file 
MTHSIG0	addenumconst add constant physicaltypeidentifi physic type identifi javasymbolnam symbol constantnam constant 
MTHSIG1	addfield add field fieldmetadata field metadata field 
PACKAGE	springframework roo classpath 
MTHSIG2	createorupdatetypeondisk creat updat type disk classorinterfacetypedetail type detail cid 
MTHSIG3	generateclassfil gener file classorinterfacetypedetail type detail cid 
VARIABLES	physicaltypeidentifi physic type identifi constantnam constant field annot cid cid filemanag file manag metadataservic metadata servic projectoper project oper typelocationservic type locat servic typeparsingservic type pars servic ptm ptd cidbuild cid builder ptm ptd cidbuild cid builder jsr requir jsr requir path filecanonicalpath file canon path newcont content file existsfil exist file 
