VARSIG3	processmanagerstatu process manag statu processmanagerstatu process manag statu 
VARSIG2	processmanagerstatuslisten process manag statu listen processmanagerstatuslisten process manag statu listen 
VARSIG4	processmanagerstatuslisten process manag statu listen listen 
COMMENTS	conveni superclass link processmanag process manag wish publish statu messag singl object instanc chang link processmanagerstatu process manag statu need singl object instanc synchron purpos constructor initialstatu initi statu obtain process manag statu synchron set process manag statu synchron chang 
CLASSES	abstractprocessmanagerstatuspublish process manag statu publish 
VARSIG1	processmanagerstatuslisten process manag statu listen processmanagerstatuslisten process manag statu listen 
VARSIG0	processmanagerstatu process manag statu initialstatu initi statu 
METHODS	addprocessmanagerstatuslisten add process manag statu listen getprocessmanagerstatu process manag statu removeprocessmanagerstatuslisten remov process manag statu listen setprocessmanagerstatu set process manag statu 
MTHSIG0	addprocessmanagerstatuslisten add process manag statu listen processmanagerstatuslisten process manag statu listen processmanagerstatuslisten process manag statu listen 
MTHSIG1	getprocessmanagerstatu process manag statu 
PACKAGE	springframework roo process manag event 
MTHSIG2	removeprocessmanagerstatuslisten remov process manag statu listen processmanagerstatuslisten process manag statu listen processmanagerstatuslisten process manag statu listen 
MTHSIG3	setprocessmanagerstatu set process manag statu processmanagerstatu process manag statu processmanagerstatu process manag statu 
VARIABLES	initialstatu initi statu processmanagerstatuslisten process manag statu listen processmanagerstatuslisten process manag statu listen processmanagerstatu process manag statu listen statu processmanagerstatu process manag statu processmanagerstatuslisten process manag statu listen 
