VARSIG7	rootnam root 
VARSIG6	javatyp type javatyp type 
VARSIG9	javatyp type javatyp type 
VARSIG8	deepseri deep serial 
VARSIG3	javatyp type type 
VARSIG2	iso date iso date 
VARSIG5	rootnam root 
VARSIG4	javatyp type javatyp type 
COMMENTS	implement addon json oper 
VARSIG1	deepseri deep serial 
VARSIG0	deepseri deep serial 
MTHSIG4	annotatetyp annot type javatyp type javatyp type rootnam root deepseri deep serial 
VARSIG12	iso date iso date 
MTHSIG5	annotatetyp annot type javatyp type javatyp type rootnam root deepseri deep serial iso date iso date 
VARSIG11	deepseri deep serial 
MTHSIG6	isjsoninstallationposs json instal 
VARSIG10	rootnam root 
MTHSIG0	annotateal annot 
MTHSIG1	annotateal annot deepseri deep serial 
PACKAGE	springframework roo addon json 
MTHSIG2	annotateal annot deepseri deep serial iso date iso date 
MTHSIG3	annotatetyp annot type javatyp type javatyp type rootnam root 
CLASSES	jsonoperationsimpl json oper impl 
METHODS	annotateal annot annotateal annot annotateal annot annotatetyp annot type annotatetyp annot type annotatetyp annot type isjsoninstallationposs json instal 
VARIABLES	deepseri deep serial deepseri deep serial iso date iso date type javatyp type rootnam root javatyp type rootnam root deepseri deep serial javatyp type rootnam root deepseri deep serial iso date iso date projectoper project oper typelocationservic type locat servic typemanagementservic type manag servic cid annotationbuild annot builder cidbuild cid builder 
