VARSIG7	file flaggraph flag graphic 
VARSIG6	file messagebundl messag bundl 
VARSIG9	projectnam project 
VARSIG8	descript 
VARSIG3	javapackag toplevelpackag top level 
VARSIG2	projectnam project 
VARSIG5	local local 
VARSIG4	languag 
COMMENTS	add creation oper 
VARSIG19	docurl doc url 
VARSIG1	descript 
VARSIG18	lincenseurl lincens url 
VARSIG0	javapackag toplevelpackag top level 
VARSIG17	vendornam vendor 
MTHSIG4	isaddoncreateposs addon creat 
VARSIG12	projectnam project 
VARSIG11	descript 
VARSIG10	javapackag toplevelpackag top level 
MTHSIG0	createadvancedaddon creat advanc addon javapackag toplevelpackag top level descript projectnam project 
VARSIG16	version 
MTHSIG1	createi naddon creat addon javapackag toplevelpackag top level languag local local file messagebundl messag bundl file flaggraph flag graphic descript projectnam project 
VARSIG15	artifactid artifact 
PACKAGE	springframework roo addon creator 
MTHSIG2	createsimpleaddon creat simpl addon javapackag toplevelpackag top level descript projectnam project 
VARSIG14	groupid group 
MTHSIG3	createwrapperaddon creat wrapper addon javapackag toplevelpackag top level groupid group artifactid artifact version vendornam vendor lincenseurl lincens url docurl doc url osgiimport osgi import descript projectnam project 
VARSIG13	javapackag toplevelpackag top level 
CLASSES	creatoroper creator oper 
METHODS	createadvancedaddon creat advanc addon createi naddon creat addon createsimpleaddon creat simpl addon createwrapperaddon creat wrapper addon isaddoncreateposs addon creat 
VARSIG22	projectnam project 
VARSIG21	descript 
VARSIG20	osgiimport osgi import 
VARIABLES	toplevelpackag top level descript projectnam project toplevelpackag top level languag local messagebundl messag bundl flaggraph flag graphic descript projectnam project toplevelpackag top level descript projectnam project toplevelpackag top level groupid group artifactid artifact version vendornam vendor lincenseurl lincens url docurl doc url osgiimport osgi import descript projectnam project 
