VARSIG7	list complet complet 
VARSIG6	filenam file 
VARSIG9	originaluserinput origin user input 
VARSIG8	requiredtyp requir type 
VARSIG3	requiredtyp requir type 
VARSIG2	 
VARSIG5	userinput user input 
VARSIG4	optioncontext option context 
COMMENTS	link convert link file doesn check backslash colon issu path window input origin fulli qualifi path complet form input origin start symbol replac user user directori path work directori specif strip work directori user type user input start tild charact replac tild charact user user directori user input start tild simpli origin user input input specifi absolut path absolut path base work directori input specifi rel path userinput user input user input commenc tild requir guarante longer tild charact input fulli qualifi path form replac symbol user user actual directori path work directori specif prepend work directori check filenam file denot absolut path file system window includ path drive letter start check perform file exist filenam file file absolut path filenam file absolut path current check drive letter current work directori link fileconvert file convert user fail provid explicit directori input requir 
VARSIG19	optioncontext option context 
VARSIG1	complet 
VARSIG18	requiredtyp requir type 
VARSIG0	originaluserinput origin user input 
VARSIG17	file file 
MTHSIG4	getallpossiblevalu valu list complet complet requiredtyp requir type originaluserinput origin user input optioncontext option context methodtarget target target 
VARSIG12	except 
MTHSIG5	getworkingdirectori work directori 
VARSIG11	methodtarget target target 
MTHSIG6	getworkingdirectoryasstr work directori 
VARSIG10	optioncontext option context 
MTHSIG7	popul list complet complet adjusteduserinput adjust user input originaluserinput origin user input directorydata directori data 
MTHSIG0	convertcompletionbackintouserinputstyl convert complet user input style originaluserinput origin user input complet 
VARSIG16	directorydata directori data 
MTHSIG1	convertfromtext convert text requiredtyp requir type optioncontext option context 
VARSIG15	originaluserinput origin user input 
PACKAGE	springframework roo shell convert 
MTHSIG2	convertuserinputintoafullyqualifiedpath convert user input fulli qualifi path userinput user input 
VARSIG14	adjusteduserinput adjust user input 
MTHSIG3	denotesabsolutepath denot absolut path filenam file 
VARSIG13	list complet complet 
MTHSIG8	support requiredtyp requir type optioncontext option context 
CLASSES	fileconvert file convert 
METHODS	convertcompletionbackintouserinputstyl convert complet user input style convertfromtext convert text convertuserinputintoafullyqualifiedpath convert user input fulli qualifi path denotesabsolutepath denot absolut path getallpossiblevalu valu getworkingdirectori work directori getworkingdirectoryasstr work directori popul support 
VARIABLES	originaluserinput origin user input complet requiredtyp requir type optioncontext option context userinput user input filenam file complet requiredtyp requir type originaluserinput origin user input optioncontext option context target complet adjusteduserinput adjust user input originaluserinput origin user input directorydata directori data file requiredtyp requir type optioncontext option context directori symbol window drive prefix window drive path fullpath full path adjusteduserinput adjust user input directorydata directori data directori complet 
