MTHSIG4	isincludeonmenu includ menu 
MTHSIG0	jsfmanagedbeanannotationvalu jsf manag bean annot valu classorinterfacetypedetail type detail governorphysicaltypedetail governor physic type detail 
MTHSIG1	jsfmanagedbeanannotationvalu jsf manag bean annot valu physicaltypemetadata physic type metadata governorphysicaltypemetadata governor physic type metadata 
PACKAGE	springframework roo addon jsf managedbean 
MTHSIG2	getbeannam bean 
MTHSIG3	getent entiti 
COMMENTS	repres pars link roojsfmanagedbean roo jsf manag bean annot 
CLASSES	jsfmanagedbeanannotationvalu jsf manag bean annot valu 
VARIABLES	governorphysicaltypedetail governor physic type detail governorphysicaltypemetadata governor physic type metadata beannam bean entiti includeonmenu includ menu 
VARSIG1	physicaltypemetadata physic type metadata governorphysicaltypemetadata governor physic type metadata 
VARSIG0	classorinterfacetypedetail type detail governorphysicaltypedetail governor physic type detail 
METHODS	jsfmanagedbeanannotationvalu jsf manag bean annot valu jsfmanagedbeanannotationvalu jsf manag bean annot valu getbeannam bean getent entiti isincludeonmenu includ menu 
