VARSIG7	element modul 
VARSIG6	packag 
VARSIG9	element root 
VARSIG8	pompath pom path 
VARSIG3	modulenam modul 
VARSIG2	pompath pom path 
VARSIG5	pompath pom path 
VARSIG4	element root 
COMMENTS	return groupid group defin pom root pom pom root element requir blank groupid group fall group assum parent roo pars element match xpath path express instanc type type object pars type type object pars constructor accept link element sole argument xpath path xpath path express appli requir root root xml document search requir list 
VARSIG19	relativepath rel path 
VARSIG1	element root 
VARSIG18	relativeto rel 
VARSIG0	element root 
VARSIG17	except 
MTHSIG4	getpath path element root packag 
VARSIG12	type 
MTHSIG5	parseel pars element type xpath path element root 
VARSIG11	packag 
MTHSIG6	resolverelativepath resolv rel path relativeto rel relativepath rel path 
VARSIG10	element root 
MTHSIG0	getgroupid group element root 
VARSIG16	runtimeexcept runtim except 
MTHSIG1	getinst instanc element root pompath pom path modulenam modul 
VARSIG15	element element 
PACKAGE	springframework roo project maven 
MTHSIG2	getmodul modul element root pompath pom path packag 
VARSIG14	element root 
MTHSIG3	getpar parent pompath pom path element root 
VARSIG13	xpath path 
CLASSES	pomfactoryimpl pom factori impl 
METHODS	getgroupid group getinst instanc getmodul modul getpar parent getpath path parseel pars element resolverelativepath resolv rel path 
VARSIG20	relativepathseg rel path segment 
VARIABLES	root root pompath pom path modulenam modul root pompath pom path packag modul pompath pom path root root packag type xpath path root element relativeto rel relativepath rel path relativepathseg rel path segment artifact xpath rel path depend xpath filter xpath group xpath modul xpath xpath packag provid properti xpath packag xpath parent group xpath parent xpath plugin repositori xpath plugin xpath properti xpath repositori xpath resourc xpath sourc directori xpath test sourc directori xpath version xpath packagingproviderregistri packag provid registri projectgroupid project group artifactid artifact groupid group packag version sourcedirectori sourc directori testsourcedirectori test sourc directori depend filter modul plugin pomproperti pom properti pluginrepositori plugin repositori repositori resourc parent path modul modulenam modul modulepath modul path parentel parent element relativepath rel path parentpompath parent pom path packagingproviderid packag provid packagingprovid packag provid relativepathseg rel path segment backcount count path 
