VARSIG7	metadataidentificationstr metadata identif 
VARSIG6	memberdetail member detail memberdetail member detail 
VARSIG9	memberdetail member detail formbackingtypedetail form back type detail 
VARSIG8	javatyp type formbackingtyp form back type 
VARSIG3	memberdetail member detail memberdetail member detail 
VARSIG2	javatyp type javatyp type 
VARSIG5	javatyp type javatyp type 
VARSIG4	metadataidentificationstr metadata identif 
COMMENTS	servic retriev metadata web scaffold add on return detail dynam finder form back type formbackingtyp form back type formbackingtypedetail form back type detail consumingmetadataid consum metadata link springframework roo metadata metadataitem metadata item that detail return detail type type basetyp base type type type basetypedetail base type detail detail type metadataid metadata link springframework roo metadata metadataitem metadata item consum return detail requir regist metadata depend map includ type link typelocationservic type locat servic isinproject project javatyp type 
VARSIG19	javatyp type basetyp base type 
VARSIG1	metadataidentificationstr metadata identif 
VARSIG18	javatyp type javatyp type 
VARSIG0	javatyp type domaintyp domain type 
VARSIG17	metadataidentificationstr metadata identif 
MTHSIG4	getidentifierfield identifi field javatyp type javatyp type 
VARSIG12	javatyp type javatyp type 
MTHSIG5	getjavatypemetadatadetail type metadata detail javatyp type javatyp type memberdetail member detail memberdetail member detail metadataidentificationstr metadata identif 
VARSIG11	javatyp type javatyp type 
MTHSIG6	getjavatypepersistencemetadatadetail type persist metadata detail javatyp type javatyp type memberdetail member detail memberdetail member detail metadataidentificationstr metadata identif 
VARSIG10	consumingmetadataid consum metadata 
MTHSIG7	getmemberdetail member detail javatyp type javatyp type 
MTHSIG0	getcrudaddit crud addit javatyp type domaintyp domain type metadataidentificationstr metadata identif 
VARSIG16	memberdetail member detail memberdetail member detail 
MTHSIG1	getdatepattern pattern javatyp type javatyp type memberdetail member detail memberdetail member detail metadataidentificationstr metadata identif 
VARSIG15	javatyp type javatyp type 
PACKAGE	springframework roo addon web mvc control detail 
MTHSIG2	getdependentapplicationtypemetadata depend applic type metadata javatyp type javatyp type memberdetail member detail memberdetail member detail metadataidentificationstr metadata identif 
VARSIG14	metadataidentificationstr metadata identif 
MTHSIG3	getdynamicfindermethodsandfield dynam finder method field javatyp type formbackingtyp form back type memberdetail member detail formbackingtypedetail form back type detail consumingmetadataid consum metadata 
VARSIG13	memberdetail member detail memberdetail member detail 
MTHSIG8	getrelatedapplicationtypemetadata applic type metadata javatyp type basetyp base type memberdetail member detail basetypedetail base type detail metadataid metadata 
MTHSIG9	getscaffoldeligiblefieldmetadata scaffold elig field metadata javatyp type javatyp type memberdetail member detail memberdetail member detail metadataidentificationstr metadata identif 
MTHSIG11	isrooidentifi roo identifi javatyp type javatyp type memberdetail member detail memberdetail member detail 
CLASSES	webmetadataservic web metadata servic 
METHODS	getcrudaddit crud addit getdatepattern pattern getdependentapplicationtypemetadata depend applic type metadata getdynamicfindermethodsandfield dynam finder method field getidentifierfield identifi field getjavatypemetadatadetail type metadata detail getjavatypepersistencemetadatadetail type persist metadata detail getmemberdetail member detail getrelatedapplicationtypemetadata applic type metadata getscaffoldeligiblefieldmetadata scaffold elig field metadata isapplicationtyp applic type isrooidentifi roo identifi 
VARSIG23	memberdetail member detail memberdetail member detail 
VARSIG22	javatyp type javatyp type 
VARSIG21	metadataid metadata 
VARSIG20	memberdetail member detail basetypedetail base type detail 
VARSIG27	memberdetail member detail memberdetail member detail 
VARSIG26	javatyp type javatyp type 
VARSIG25	javatyp type javatyp type 
VARSIG24	metadataidentificationstr metadata identif 
MTHSIG10	isapplicationtyp applic type javatyp type javatyp type 
VARIABLES	domaintyp domain type metadataidentificationstr metadata identif javatyp type memberdetail member detail metadataidentificationstr metadata identif javatyp type memberdetail member detail metadataidentificationstr metadata identif formbackingtyp form back type formbackingtypedetail form back type detail consumingmetadataid consum metadata javatyp type javatyp type memberdetail member detail metadataidentificationstr metadata identif javatyp type memberdetail member detail metadataidentificationstr metadata identif javatyp type basetyp base type basetypedetail base type detail metadataid metadata javatyp type memberdetail member detail metadataidentificationstr metadata identif javatyp type javatyp type memberdetail member detail 
