VARSIG7	annotationmetadata annot metadata fieldannot field annot 
VARSIG6	fieldmetadata field metadata field 
VARSIG9	fieldmetadata field metadata field 
VARSIG8	annotationmetadata annot metadata matchingannot match annot 
VARSIG3	collect annotationmetadata annot metadata annot 
VARSIG2	customdatakei custom data kei fieldmetadata field metadata customdatakei custom data kei 
VARSIG5	javasymbolnam symbol attributenam attribut 
VARSIG4	fieldmetadata field metadata field 
COMMENTS	link matcher link fieldmetadata field metadata match presenc list annot constructor match annot customdatakei custom data kei custom data kei indic type field requir annot annot match constructor match annot customdatakei custom data kei custom data kei indic type field requir annot annot match return annot field match matcher matcher target annot field field annot check requir 
VARSIG1	annotationmetadata annot metadata annot 
VARSIG0	customdatakei custom data kei fieldmetadata field metadata customdatakei custom data kei 
MTHSIG4	getmatchingannot match annot fieldmetadata field metadata field 
VARSIG12	fieldmetadata field metadata field 
MTHSIG5	gettagvalu tag fieldmetadata field metadata field 
VARSIG11	memberholdingtypedetail member hold type detail memberholdingtypedetail member hold type detail 
MTHSIG6	match list memberholdingtypedetail member hold type detail memberholdingtypedetailslist member hold type detail list 
VARSIG10	list memberholdingtypedetail member hold type detail memberholdingtypedetailslist member hold type detail list 
MTHSIG0	fieldmatch field matcher customdatakei custom data kei fieldmetadata field metadata customdatakei custom data kei annotationmetadata annot metadata annot 
MTHSIG1	fieldmatch field matcher customdatakei custom data kei fieldmetadata field metadata customdatakei custom data kei collect annotationmetadata annot metadata annot 
PACKAGE	springframework roo classpath customdata tagger 
MTHSIG2	getattributemap attribut map fieldmetadata field metadata field 
MTHSIG3	getcustomdatakei custom data kei 
CLASSES	fieldmatch field matcher 
METHODS	fieldmatch field matcher fieldmatch field matcher getattributemap attribut map getcustomdatakei custom data kei getmatchingannot match annot gettagvalu tag match 
VARIABLES	customdatakei custom data kei annot customdatakei custom data kei annot field attributenam attribut field fieldannot field annot matchingannot match annot field memberholdingtypedetailslist member hold type detail list memberholdingtypedetail member hold type detail field jpa column jpa embed jpa embed jpa enumer jpa jpa lob jpa jpa jpa jpa jpa jpa version annot customdatakei custom data kei map annotationmetadata annot metadata field 
