VARSIG7	javatyp type targetent target entiti 
VARSIG6	methodidentifi identifi 
VARSIG9	autowir 
VARSIG8	javatyp type idtyp type 
VARSIG3	javatyp type idtyp type 
VARSIG2	javatyp type targetent target entiti 
VARSIG5	callermid caller mid 
VARSIG4	methodparamet paramet callerparamet caller paramet 
COMMENTS	link springframework roo classpath layer layerprovid layer provid link layertyp layer type activ record layer crud valu entiti entiti roojpaactiverecord roo jpa activ record annot check entiti plural form entiti layer type paramet entiti layer annot need gener call return plural form entiti javatyp type entiti plural requir can can acquir plural unit test jpaactiverecordmetadataprovid jpa activ record metadata provid unit test metadataservic metadata servic 
VARSIG1	methodidentifi identifi 
VARSIG0	callermid caller mid 
MTHSIG4	setjpaactiverecordmetadataprovid set jpa activ record metadata provid jpaactiverecordmetadataprovid jpa activ record metadata provid jpaactiverecordmetadataprovid jpa activ record metadata provid 
VARSIG12	jpaactiverecordmetadataprovid jpa activ record metadata provid jpaactiverecordmetadataprovid jpa activ record metadata provid 
MTHSIG5	setmetadataservic set metadata servic metadataservic metadata servic metadataservic metadata servic 
VARSIG11	javatyp type javatyp type 
VARSIG10	methodparamet paramet callerparamet caller paramet 
MTHSIG0	getlayerposit layer posit 
MTHSIG1	getmembertypeaddit member type addit callermid caller mid methodidentifi identifi javatyp type targetent target entiti javatyp type idtyp type methodparamet paramet callerparamet caller paramet 
PACKAGE	springframework roo addon jpa activerecord 
MTHSIG2	getmembertypeaddit member type addit callermid caller mid methodidentifi identifi javatyp type targetent target entiti javatyp type idtyp type autowir methodparamet paramet callerparamet caller paramet 
MTHSIG3	getplur plural javatyp type javatyp type 
VARSIG13	metadataservic metadata servic metadataservic metadata servic 
CLASSES	entitylayerprovid entiti layer provid 
METHODS	getlayerposit layer posit getmembertypeaddit member type addit getmembertypeaddit member type addit getplur plural setjpaactiverecordmetadataprovid set jpa activ record metadata provid setmetadataservic set metadata servic 
VARIABLES	callermid caller mid methodidentifi identifi targetent target entiti idtyp type callerparamet caller paramet callermid caller mid methodidentifi identifi targetent target entiti idtyp type autowir callerparamet caller paramet javatyp type jpaactiverecordmetadataprovid jpa activ record metadata provid metadataservic metadata servic jpaactiverecordmetadataprovid jpa activ record metadata provid metadataservic metadata servic typelocationservic type locat servic annotationvalu annot valu plural parametertyp paramet type methodnam callerparameterlist caller paramet list methodcal call additionsbuild addit builder kei pluralmetadata plural metadata 
