VARSIG7	result 
VARSIG6	result 
VARSIG9	pathnam 
VARSIG8	result 
VARSIG3	annotationmetadata annot metadata annot 
VARSIG2	classorinterfacetypedetail type detail ptd 
VARSIG5	result 
VARSIG4	result 
COMMENTS	function test link javaparsertypeparsingservic parser type pars servic getcompilationunitcont compil unit content springframework roo classpath detail classorinterfacetypedetail type detail fixtur set invok save file debug set invok save file debug set invok save file debug set invok save file debug set invok add invok save file debug set invok save file debug set invok save file debug set invok save file debug invok save file debug check header asserttru result file header asserttru result simpl comment comment asserttru result comment check declar asserttru result author disid technolog asserttru result comment code check field asserttru result field asserttru result doc check constructor xxx support variabl spring rooo simpleclass simpl param asserttru result simpleclass simpl param asserttru result constructor asserttru result comment constructor asserttru result constructor asserttru result comment constructor asserttru result comment inlin inlin asserttru result comment inlin xxx javapars parser asserttru result comment inlin inlin check declar asserttru result check methodvoid asserttru result methodvoid doc asserttru result comment asserttru result comment check content asserttru result comment block asserttru result simpl comment asserttru result simpl comment check declar xxx roo metadata doesn support asserttru result map asserttru result comment check subclass asserttru result subclass doc asserttru result comment asserttru result comment xxx javapars parser asserttru result comment inlin asserttru result comment elseif xxx javapars parser asserttru result comment inlin elseif asserttru result comment xxx javapars parser asserttru result comment inlin check newlist list check header check declar asserttru result author disid technolog check newlist list check header check declar check check check check set string check map string doubl check map string doubl check check import asserttru result file header asserttru result simpl comment comment asserttru result comment asserttru result author disid technolog asserttru result 
VARSIG1	fieldmetadata field metadata field 
VARSIG0	classorinterfacetypedetail type detail ptd 
MTHSIG4	testsimpleclass nochang test simpl 
VARSIG12	file orgininalfil orginin file 
MTHSIG5	testsimpleclass addfield test simpl add field 
VARSIG11	file file 
MTHSIG6	testregres test regres roo 
VARSIG10	pathnam path 
MTHSIG7	testsimpleclassaddfield test simpl add field 
MTHSIG0	setup set 
VARSIG16	result 
MTHSIG1	testsimpleinterfacenochang test simpl 
VARSIG15	file orgininalfil orginin file 
PACKAGE	springframework roo classpath javapars 
MTHSIG2	testsimpleclassnochang test simpl 
VARSIG14	suffix 
MTHSIG3	testsimpleclass nochang test simpl 
VARSIG13	result 
MTHSIG20	saveresult save result file orgininalfil orginin file result 
MTHSIG8	testsimpleclassaddannot test simpl add annot 
MTHSIG9	addfield add field classorinterfacetypedetail type detail ptd fieldmetadata field metadata field 
MTHSIG17	getresourcecont resourc content pathnam path 
MTHSIG18	getresourcecont resourc content file file 
MTHSIG15	checksimpleinterfac check simpl result 
MTHSIG16	getresourc resourc pathnam 
MTHSIG13	checksimpl class check simpl result 
MTHSIG14	check roo result 
MTHSIG11	checksimpleclass check simpl result 
MTHSIG12	checksimpl class check simpl result 
CLASSES	updatecompilationunittest updat compil unit test 
METHODS	setup set testsimpleinterfacenochang test simpl testsimpleclassnochang test simpl testsimpleclass nochang test simpl testsimpleclass nochang test simpl testsimpleclass addfield test simpl add field testregres test regres roo testsimpleclassaddfield test simpl add field testsimpleclassaddannot test simpl add annot addfield add field addannot add annot checksimpleclass check simpl checksimpl class check simpl checksimpl class check simpl check roo checksimpleinterfac check simpl getresourc resourc getresourcecont resourc content getresourcecont resourc content saveresult save result saveresult save result 
MTHSIG19	saveresult save result file orgininalfil orginin file result suffix 
MTHSIG10	addannot add annot classorinterfacetypedetail type detail ptd annotationmetadata annot metadata annot 
VARIABLES	ptd field ptd annot result result result result result pathnam pathnam path file orgininalfil orginin file result suffix orgininalfil orginin file result simpl file path simpl file path simpl file path simpl file path roo roo file path simpl type simpl type simpl type simpl type roo roo type simpl declar mid simpl declar mid simpl declar mid simpl declar mid roo roo declar mid mockmetadataservic mock metadata servic mocktypelocationservic mock type locat servic typeparsingservic type pars servic file filecont file content simpleinterfacedetail simpl detail result file filecont file content simpleinterfacedetail simpl detail result file filecont file content simpleinterfacedetail simpl detail result file filecont file content simpleinterfacedetail simpl detail result file filecont file content simpleinterfacedetail simpl detail fielddetail field detail fieldbuild field builder newclassdetail detail result simpleinterfacedetail simpl detail fielddetail field detail fieldbuild field builder newclassdetail detail result result file filecont file content simpleinterfacedetail simpl detail result file filecont file content simpleinterfacedetail simpl detail fieldbuild field builder newsimpleinterfacedetail simpl detail result file filecont file content simpleinterfacedetail simpl detail annotationbuild annot builder newsimpleinterfacedetail simpl detail result simpleinterfacedetail simpl detail result result cidbuild cid builder cidbuild cid builder re resultfil result file 
