VARSIG7	javatyp type type 
VARSIG6	map javatyp type list methodmetadata metadata domainjavatyp domain type 
VARSIG9	list methodmetadata metadata method 
VARSIG8	javatyp type type 
VARSIG3	identifi 
VARSIG2	physicaltypemetadata physic type metadata governorphysicaltypemetadata governor physic type metadata 
VARSIG5	physicaltypemetadata physic type metadata governorphysicaltypemetadata governor physic type metadata 
VARSIG4	javatyp type aspectnam aspect 
COMMENTS	repres metadata applic wide convers servic gener method afterpropertiesset properti set overrid initializingbean initi bean lifecycl parent installlabelconvert instal label convert formatterregistri formatt registri registri regist convert method convert scaffold domain type associ test load keyset domain type map treeset tree set creat consist order gener method shell restart domainenumtyp domain type method getreturntyp type append 
VARSIG1	javatyp type aspectnam aspect 
VARSIG0	identifi 
MTHSIG4	getafterpropertiessetmethod properti set methodmetadata metadata installconvertersmethod instal convert 
VARSIG12	methodnam 
MTHSIG5	getgovernormethod governor methodnam list annotatedjavatyp annot type paramet 
VARSIG11	methodmetadata metadata installconvertersmethod instal convert 
VARSIG10	methodnam 
MTHSIG0	conversionservicemetadata convers servic metadata identifi javatyp type aspectnam aspect physicaltypemetadata physic type metadata governorphysicaltypemetadata governor physic type metadata 
MTHSIG1	conversionservicemetadata convers servic metadata identifi javatyp type aspectnam aspect physicaltypemetadata physic type metadata governorphysicaltypemetadata governor physic type metadata map javatyp type list methodmetadata metadata domainjavatyp domain type 
PACKAGE	springframework roo addon web mvc control convert 
MTHSIG2	getconvertermethod convert javatyp type type list methodmetadata metadata method methodnam 
MTHSIG3	getinstallmethodbuild instal builder 
VARSIG13	list annotatedjavatyp annot type paramet 
CLASSES	conversionservicemetadata convers servic metadata 
METHODS	conversionservicemetadata convers servic metadata conversionservicemetadata convers servic metadata getconvertermethod convert getinstallmethodbuild instal builder getafterpropertiessetmethod properti set getgovernormethod governor 
VARIABLES	identifi aspectnam aspect governorphysicaltypemetadata governor physic type metadata identifi aspectnam aspect governorphysicaltypemetadata governor physic type metadata domainjavatyp domain type type type method methodnam installconvertersmethod instal convert methodnam paramet installmethodbuild instal builder convertermethodnam convert installmethod instal param converterjavatyp convert type bodybuild bodi builder methodnam paramet parameternam paramet name methodnam paramet parameternam paramet name bodybuild bodi builder 
