VARSIG7	export 
VARSIG6	set foreignkei foreign kei foreignkei foreign 
VARSIG9	document document 
VARSIG8	element tableel tabl element 
VARSIG3	column column 
VARSIG2	tabl tabl 
VARSIG5	indexcolumn column indexcolumn column 
VARSIG4	 
COMMENTS	assist convert link databas xml dom sax don process option element 
VARSIG19	element tableel tabl element 
VARSIG1	outputstream output stream outputstream output stream 
VARSIG18	inputstream input stream inputstream input stream 
VARSIG0	databas databas 
VARSIG17	except 
MTHSIG4	readschemafrominputstream read schema input stream inputstream input stream inputstream input stream 
VARSIG12	kei 
MTHSIG5	readdatabasestructurefrominputstreamwithdom read databas structur input stream dom inputstream input stream inputstream input stream 
VARSIG11	refer refer 
VARSIG33	except 
MTHSIG6	addindic add indic tabl tabl element tableel tabl element indextyp type indextyp type 
VARSIG10	foreignkei foreign kei foreignkei foreign kei 
VARSIG32	emptystackexcept empti stack except 
MTHSIG7	getdocu document inputstream input stream inputstream input stream 
VARSIG31	inputstream input stream inputstream input stream 
MTHSIG0	writedatabasestructuretooutputstream write databas structur output stream databas databas outputstream output stream outputstream output stream 
VARSIG16	inputstream input stream inputstream input stream 
MTHSIG1	addforeignkeyel add foreign kei element set foreignkei foreign kei foreignkei foreign export element tableel tabl element document document 
VARSIG15	inputstream input stream inputstream input stream 
PACKAGE	springframework roo addon dbre model 
MTHSIG2	createoptionel creat option element kei document document 
VARSIG14	document document 
MTHSIG3	readschemafrominputstreamwithdom read schema input stream dom inputstream input stream inputstream input stream 
VARSIG13	 
MTHSIG8	readdatabasestructurefrominputstream read databas structur input stream inputstream input stream inputstream input stream 
VARSIG30	except 
CLASSES	databasexmlutil databas xml util 
VARSIG29	inputstream input stream inputstream input stream 
VARSIG28	element indexcolumnel column element 
METHODS	writedatabasestructuretooutputstream write databas structur output stream addforeignkeyel add foreign kei element createoptionel creat option element readschemafrominputstreamwithdom read schema input stream dom readschemafrominputstream read schema input stream readdatabasestructurefrominputstreamwithdom read databas structur input stream dom addindic add indic getdocu document readdatabasestructurefrominputstream read databas structur input stream 
VARSIG23	element referenceel refer element 
VARSIG22	element optionel option element 
VARSIG21	element foreignkeyel foreign kei element 
VARSIG20	element columnel column element 
VARSIG27	element element 
VARSIG26	indextyp type indextyp type 
VARSIG25	element tableel tabl element 
VARSIG24	tabl tabl 
VARIABLES	databas outputstream output stream tabl column indexcolumn column foreignkei foreign export tableel tabl element document foreignkei foreign kei refer kei document inputstream input stream inputstream input stream inputstream input stream tableel tabl element columnel column element foreignkeyel foreign kei element optionel option element referenceel refer element tabl tableel tabl element indextyp type element indexcolumnel column element inputstream input stream inputstream input stream local foreign foreign tabl descript refer updat delet indextyp type document comment databaseel databas element tableel tabl element columnel column element indexel element indexcolumnel column element transform foreignkeyel foreign kei element foreigntablenam foreign tabl referenceel refer element option document databaseel databas element spf parser contenthandl content handler document databaseel databas element tabl tableel tabl element tabl columnel column element type datatypeandnam data type datatyp data type typenam type size columns column size decimaldigit decim digit precisionscal precis scale column foreignkeyel foreign kei element foreignkei foreign kei optionel option element referenceel refer element refer destinationjavapackag destin element indexcolumnel column element indexcolumn column builder spf parser contenthandl content handler 
