VARSIG7	newcont content 
VARSIG6	fileidentifi file identifi 
VARSIG9	fileidentifi file identifi 
VARSIG8	writeimmedi write 
VARSIG3	fileidentifi file identifi 
VARSIG2	fileidentifi file identifi 
VARSIG5	fileidentifi file identifi 
VARSIG4	fileidentifi file identifi 
COMMENTS	repres primari add on modifi underli disk storag link filemanag file manag instanc acquir link processmanag process manag link filemanag file manag implement guarante link undomanag undo manag link processmanag process manag link processmanag process manag undo reset requir implement elect defer write disk discard link commit link clear invok file identifi pass canon path exist fileidentifi file identifi locat requir canon path format file directori exist obtain input stream file identifi file directori exist time call read access file requir read write access method link filemanag file manag fileidentifi file identifi read requir canon path format input stream attempt creat directori disk request file identifi path exist canon file format parent directori creat automat creat parent directori remov undo behaviour except thrown path exist fileidentifi file identifi path creat exist requir represent directori creation fail attempt creat file disk request fileidentifi file identifi path exist canon file format implement guarante link createdirectori creat directori requir creat requir parent directori except thrown path exist fileidentifi file identifi path creat exist requir represent file creation fail attempt delet file directori disk path canon file format except thrown path exist path refer directori content directori recurs delet delet fail except thrown fileidentifi file identifi delet requir updat represent file disk file identifi refer file directori exist violat requir result except identifi canon file format refer document link mutablefil mutabl file restrict usag fileidentifi file identifi updat file exist requir mutabl present simpl creat updat file skip modif file file content match propos content call text file mechan automat delet unwant file content byte delet exist file consid advanc delet file fail file exist separ delet implement guarante link createdirectori creat directori requir creat requir parent directori implement requir observ link commit link clear semant defin type level javadoc doc fileidentifi file identifi creat updat requir newcont content replac content requir byte file delet writeimmedi write forc write file disk defer recommend commit actual disk implement elect defer discard propos disk implement elect defer obtain exist file read path canon file format fileidentifi file identifi read exist requir represent file file exist deleg link filemonitorservic file monitor servic scanal scan link notifiablefilemonitorservic notifi file monitor servic scannotifi scan notifi number detect deleg link filemonitorservic file monitor servic findmatchingantpath find match ant path antpath ant path ant path evalu canon file path format requir match identifi empti 
VARSIG1	fileidentifi file identifi 
VARSIG0	fileidentifi file identifi 
MTHSIG4	delet fileidentifi file identifi 
MTHSIG5	updatefil updat file fileidentifi file identifi 
MTHSIG6	createorupdatetextfileifrequir creat updat text file requir fileidentifi file identifi newcont content writeimmedi write 
VARSIG10	antpath ant path 
MTHSIG7	commit 
MTHSIG0	exist fileidentifi file identifi 
MTHSIG1	getinputstream input stream fileidentifi file identifi 
PACKAGE	springframework roo process manag 
MTHSIG2	createdirectori creat directori fileidentifi file identifi 
MTHSIG3	createfil creat file fileidentifi file identifi 
MTHSIG8	clear 
MTHSIG9	readfil read file fileidentifi file identifi 
MTHSIG11	findmatchingantpath find match ant path antpath ant path 
CLASSES	filemanag file manag 
METHODS	exist getinputstream input stream createdirectori creat directori createfil creat file delet updatefil updat file createorupdatetextfileifrequir creat updat text file requir commit clear readfil read file scan findmatchingantpath find match ant path 
MTHSIG10	scan 
VARIABLES	fileidentifi file identifi fileidentifi file identifi fileidentifi file identifi fileidentifi file identifi fileidentifi file identifi fileidentifi file identifi fileidentifi file identifi newcont content writeimmedi write fileidentifi file identifi antpath ant path 
