VARSIG7	itdfilenam filenam 
VARSIG6	physicaltypemetadata physic type metadata governorphysicaltypemetadata governor physic type metadata 
VARSIG9	metadataidentificationstr metadata identif 
VARSIG8	methodmetadata metadata 
VARSIG3	methodmetadata metadata 
VARSIG2	itdtypedetail type detail itdtypedetail type detail 
VARSIG5	javatyp type aspectnam aspect 
VARSIG4	metadataidentificationstr metadata identif 
COMMENTS	link dataondemandmetadata data demand metadata dod class configur dod class provid relationship determin governor dod metadata hope hear javatyp type itd dod interest javatyp type let move dod metadata let check care method match requir dod care javatyp type offer interest let formal trigger note scan discov regist direct depend governor type detail safe pars annot expect rememb entiti javatyp type match dod dod metadata identif start clear previou associ lookup entiti entiti metadata lookup metadata depend abort couldn find depend metadata abort entiti entiti detail aren pars error identifi mutat care entiti add method care locatedmut locat mutat track collabor metadata inform depend metadata check field type ensur entiti check field manytoon onetoon annot metadata reli 
VARSIG1	componentcontext compon context context 
VARSIG0	componentcontext compon context context 
MTHSIG4	locatecollaboratingmetadata locat collabor metadata metadataidentificationstr metadata identif fieldmetadata field metadata field 
VARSIG12	javatyp type javatyp type 
MTHSIG5	getitduniquenessfilenamesuffix uniqu filenam suffix 
VARSIG11	metadataidentificationstr metadata identif 
MTHSIG6	getgovernorphysicaltypeidentifi governor physic type identifi metadataidentificationstr metadata identif 
VARSIG10	fieldmetadata field metadata field 
MTHSIG7	createlocalidentifi creat local identifi javatyp type javatyp type path path 
MTHSIG0	activ componentcontext compon context context 
MTHSIG1	deactiv componentcontext compon context context 
PACKAGE	springframework roo addon dod 
MTHSIG2	getlocalmidtorequest local mid request itdtypedetail type detail itdtypedetail type detail 
MTHSIG3	getmetadata metadata metadataidentificationstr metadata identif javatyp type aspectnam aspect physicaltypemetadata physic type metadata governorphysicaltypemetadata governor physic type metadata itdfilenam filenam 
VARSIG13	path path 
MTHSIG8	getprovidestyp type 
CLASSES	dataondemandmetadataprovid data demand metadata provid 
METHODS	activ deactiv getlocalmidtorequest local mid request getmetadata metadata locatecollaboratingmetadata locat collabor metadata getitduniquenessfilenamesuffix uniqu filenam suffix getgovernorphysicaltypeidentifi governor physic type identifi createlocalidentifi creat local identifi getprovidestyp type 
VARIABLES	context context itdtypedetail type detail metadataidentificationstr metadata identif aspectnam aspect governorphysicaltypemetadata governor physic type metadata itdfilenam filenam metadataidentificationstr metadata identif field metadataidentificationstr metadata identif javatyp type path configurablemetadataprovid configur metadata provid entitytododmidmap entiti dod mid map dodmidtoentitymap dod mid entiti map governor localmid local mid annotationvalu annot valu oldent entiti entityjavatyp entiti type entitymetadatakei entiti metadata kei entityclassorinterfacemetadatakei entiti metadata kei entitymetadata entiti metadata entityphysicaltypemetadata entiti physic type metadata entityclassorinterfacetypedetail entiti type detail locatedmut locat mutat memberdetail member detail propertynam properti field othermetadata metadata findentriesmethod find entri persistmethod persist flushmethod flush findmethod find identifieraccessor identifi accessor entitymetadatakei entiti metadata kei entityclassorinterfacemetadatakei entiti metadata kei entitymetadata entiti metadata entityphysicaltypemetadata entiti physic type metadata manytooneannot annot onetooneannot annot otherprovid provid javatyp type path 
