VARSIG6	classorinterfacetypedetail type detail governortypedetail governor type detail 
VARSIG3	requesttyp request type 
VARSIG2	javatyp type governortyp governor type 
VARSIG5	classorinterfacetypedetail type detail governortypedetail governor type detail 
VARSIG4	classorinterfacetypedetail type detail childtyp child type 
COMMENTS	 
CLASSES	gwttypeservic gwt type servic 
VARSIG1	projectmetadata project metadata projectmetadata project metadata 
VARSIG0	javatyp type type 
METHODS	getgwtsideleaftyp gwt side leaf type getextendstyp type getclientsidetypemap client side type map getclienttypemap client type map 
MTHSIG0	getgwtsideleaftyp gwt side leaf type javatyp type type projectmetadata project metadata projectmetadata project metadata javatyp type governortyp governor type requesttyp request type 
MTHSIG1	getextendstyp type classorinterfacetypedetail type detail childtyp child type 
PACKAGE	springframework roo addon gwt 
MTHSIG2	getclientsidetypemap client side type map classorinterfacetypedetail type detail governortypedetail governor type detail 
MTHSIG3	getclienttypemap client type map classorinterfacetypedetail type detail governortypedetail governor type detail 
VARIABLES	type projectmetadata project metadata governortyp governor type requesttyp request type childtyp child type governortypedetail governor type detail governortypedetail governor type detail 
