VARSIG7	set includet includ tabl 
VARSIG6	view 
VARSIG8	set excludet exclud tabl 
VARSIG3	schema schema 
VARSIG2	schema schema 
VARSIG5	javapackag destinationpackag destin 
VARSIG4	schema schema 
COMMENTS	specifi method retriev databas metadata implement guarante discov link databaselisten databas listen instanc regist osgi contain automat notifi databas refresh load time dbre xml file determin databas schema exampl databas schema mysql sql firebird displayaddon displai add on displai add on requir databas support schema runtimeexcept runtim except problem acquir connect return set databas link schema schema displayaddon displai add on displai add on requir set schema return schema schema introspect introspect latest represent databas cach connect databas cach schema load implement schema databas connect databas schema forc cach refresh schema databas connect schema schema refresh requir databas connect databas schema link refreshdatabas refresh databas schema chang schema notifi listen updat chang cach disk ideal view databas schema impact exist dbre statu schema refresh requir databas connect databas schema specifi link javapackag creat entiti destinationpackag destin javapackag set flag bring databas view view databas view retriev specifi tabl name includ includet includ tabl empti tabl set revers engin includet includ tabl set tabl name specifi tabl name exclud revers engin excludet exclud tabl set tabl name 
CLASSES	dbremodelservic dbre model servic 
VARSIG1	displayaddon displai add on 
VARSIG0	displayaddon displai add on 
METHODS	supportsschema support schema getdatabaseschema databas schema getlastschema schema getdatabas databas refreshdatabas refresh databas refreshdatabasesaf refresh databas safe setdestinationpackag set destin setview set view setincludet set includ tabl setexcludet set exclud tabl 
MTHSIG4	refreshdatabas refresh databas schema schema 
MTHSIG5	refreshdatabasesaf refresh databas safe schema schema 
MTHSIG6	setdestinationpackag set destin javapackag destinationpackag destin 
MTHSIG7	setview set view view 
MTHSIG0	supportsschema support schema displayaddon displai add on 
MTHSIG1	getdatabaseschema databas schema displayaddon displai add on 
PACKAGE	springframework roo addon dbre 
MTHSIG2	getlastschema schema 
MTHSIG3	getdatabas databas schema schema 
VARIABLES	displayaddon displai add on displayaddon displai add on schema schema schema destinationpackag destin view includet includ tabl excludet exclud tabl dbre file 
MTHSIG8	setincludet set includ tabl set includet includ tabl 
MTHSIG9	setexcludet set exclud tabl set excludet exclud tabl 
