VARSIG7	javatyp type annotationstodetect annot detect 
VARSIG6	list javatyp type annotationstodetect annot detect 
VARSIG8	javatyp type annotationstodetect annot detect 
VARSIG3	javatyp type requiredclassorinterfac requir 
VARSIG2	physicaltypeidentifi physic type identifi 
VARSIG5	locatedtypecallback locat type callback callback 
VARSIG4	list javatyp type annotationstodetect annot detect 
COMMENTS	locat type obtain request link javatyp type assum exist time pars assumpt met except thrown requiredclassorinterfac requir pars requir detail return process type list annot suppli link locatedtypecallback locat type callback callback implement process locat type annotationstodetect annot detect list annot detect type callback link locatedtypecallback locat type callback handl process locat type return set link javatyp type possess list annot annotationstodetect annot detect list annot detect type set type annot return set link javatyp type possess annot vararg annotationstodetect annot detect annot vararg detect type set type annot return set link classorinterfacetypedetail type detail possess annot vararg annotationstodetect annot detect annot vararg detect type set classorinterfacetypedetail type detail annot 
CLASSES	typelocationservic type locat servic 
VARSIG1	path path 
VARSIG0	javatyp type javatyp type 
METHODS	getphysicallocationcanonicalpath physic locat canon path getphysicallocationcanonicalpath physic locat canon path getclassorinterfac processtypeswithannot process type annot findtypeswithannot find type annot findtypeswithannot find type annot findclassesorinterfacedetailswithannot find class detail annot 
MTHSIG4	findtypeswithannot find type annot list javatyp type annotationstodetect annot detect 
MTHSIG5	findtypeswithannot find type annot javatyp type annotationstodetect annot detect 
MTHSIG6	findclassesorinterfacedetailswithannot find class detail annot javatyp type annotationstodetect annot detect 
MTHSIG0	getphysicallocationcanonicalpath physic locat canon path javatyp type javatyp type path path 
MTHSIG1	getphysicallocationcanonicalpath physic locat canon path physicaltypeidentifi physic type identifi 
PACKAGE	springframework roo classpath 
MTHSIG2	getclassorinterfac javatyp type requiredclassorinterfac requir 
MTHSIG3	processtypeswithannot process type annot list javatyp type annotationstodetect annot detect locatedtypecallback locat type callback callback 
VARIABLES	javatyp type path physicaltypeidentifi physic type identifi requiredclassorinterfac requir annotationstodetect annot detect callback annotationstodetect annot detect annotationstodetect annot detect annotationstodetect annot detect 
