VARSIG3	viewloc view locat 
VARSIG2	tilestemplatenam tile templat 
VARSIG5	foldernam folder 
VARSIG4	 
COMMENTS	add view definit view xml tile configur foldernam folder folder web inf view path attribut link webscaffoldmetadata web scaffold metadata tilesviewnam tile view simpl view list updat view nest folder owner list owner tilestemplatenam tile templat templat admin viewloc view locat locat view web applic web inf view owner list jspx add view definit view xml tile configur simpl view list updat foldernam folder 
CLASSES	tilesoper tile oper 
VARSIG1	tilesviewnam tile view 
VARSIG0	foldernam folder 
METHODS	addviewdefinit add view definit removeviewdefinit remov view definit 
MTHSIG0	addviewdefinit add view definit foldernam folder tilesviewnam tile view tilestemplatenam tile templat viewloc view locat 
MTHSIG1	removeviewdefinit remov view definit foldernam folder 
PACKAGE	springframework roo addon web mvc jsp tile 
VARIABLES	foldernam folder tilesviewnam tile view tilestemplatenam tile templat viewloc view locat foldernam folder templat templat 
