VARSIG7	destfil dest file 
VARSIG6	classorinterfacetypedetail type detail type 
VARSIG9	upstreamdepend upstream depend 
VARSIG8	destfil dest file 
VARSIG3	javasymbolnam symbol symbolnam symbol 
VARSIG2	javasymbolnam symbol symbolnam symbol 
VARSIG5	gwttype gwt type type 
VARSIG4	gwttype gwt type gwttype gwt type 
COMMENTS	monitor type creat updat delet gwt file maintain mirror compat object find list mirror compat object link gwttype gwt type rooentiti roo entiti instanc mirror compat roo add on provid aim expos content file link gwtmetadata gwt metadata attempt avoid write disk separ type monitor creation delet aforement file maintain global index abort earli can start convert mid concept governor mid refer governor abort file sourc path abort file gwt directori governor governor interest type verifi mid pass correspond type let handl proxi produc modifi delet applic governor lookup exist proxi type verifi map governor mid detect collis abort delet verifi don delet creat delet type collis kei present exist saniti check read origin type let verifi expect excel uniqu care let metadata discov field enum handl governor delet unavail suitabl mirror gener strategi instanti gwtmetadata gwt metadata offer conceptu represent kei specif type comparison write disk need physic type chang determin local metadata identif proce downstream depend relationship regist regist event deliv instanc specif downstream depend process 
VARSIG1	gwtpath gwt path path 
VARSIG0	metadataidentificationstr metadata identif 
MTHSIG4	deactiv componentcontext compon context context 
VARSIG12	componentcontext compon context context 
MTHSIG5	createlocalidentifi creat local identifi javatyp type javatyp type path path 
VARSIG11	componentcontext compon context context 
MTHSIG6	getprovidestyp type 
VARSIG10	downstreamdepend downstream depend 
MTHSIG0	metadataidentificationstr metadata identif 
MTHSIG1	notifi upstreamdepend upstream depend downstreamdepend downstream depend 
PACKAGE	springframework roo addon gwt 
MTHSIG2	getprojectmetadata project metadata 
VARSIG14	path path 
MTHSIG3	activ componentcontext compon context context 
VARSIG13	javatyp type javatyp type 
CLASSES	gwtmetadataproviderimpl gwt metadata provid impl 
METHODS	notifi getprojectmetadata project metadata activ deactiv createlocalidentifi creat local identifi getprovidestyp type 
VARIABLES	metadataidentificationstr metadata identif path symbolnam symbol symbolnam symbol gwttype gwt type type type destfil dest file destfil dest file upstreamdepend upstream depend downstreamdepend downstream depend context context javatyp type path gwtfilemanag gwt file manag metadatadependencyregistri metadata depend registri filemanag file manag metadataservic metadata servic gwttypenamingstrategi gwt type name strategi memberdetailsscann member detail scanner gwttemplateservic gwt templat servic gwttypeservic gwt type servic projectmetadata project metadata governortypenam governor type governortypepath governor type path governorphysicaltypemetadata governor physic type metadata governortypedetail governor type detail entitymetadata entiti metadata memberholdingtypedetail member hold type detail mirrortypemap mirror type map gwtclienttypemap gwt client type map keytypenam kei type keytypepath kei type path keyphysicaltypemetadata kei physic type metadata cid roogwtannot roo gwt annot actualvalu actual clientsidetypemap client side type map gwtmetadata gwt metadata defaultphysicaltypemetadata physic type metadata proxyfield proxi field proxyproperti proxi properti newproxyproperti proxi properti templatedatahold templat data holder typestobewritten type written xmltobewritten xml written extendstyp type destfil dest file content projectmetadata project metadata typenam type typepath type path 
