VARSIG7	properti existingproperti exist properti 
VARSIG6	downstreamdepend downstream depend 
VARSIG8	versioninfo version info 
VARSIG3	version 
VARSIG2	componentcontext compon context componentcontext compon context 
VARSIG5	upstreamdepend upstream depend 
VARSIG4	runtimeexcept runtim except 
COMMENTS	automat upgrad spring roo annot jar current version roo annot jar equal newer version roo run upgrad servic extract version except version extract empti version normal form project metadata chang 
CLASSES	automaticprojectupgradeservic automat project upgrad servic 
VARSIG1	bundl 
VARSIG0	componentcontext compon context componentcontext compon context 
METHODS	activ deactiv extractversioninfofromstr extract version info notifi 
MTHSIG0	activ componentcontext compon context componentcontext compon context 
MTHSIG1	deactiv componentcontext compon context componentcontext compon context 
PACKAGE	springframework roo project 
MTHSIG2	extractversioninfofromstr extract version info version 
MTHSIG3	notifi upstreamdepend upstream depend downstreamdepend downstream depend 
VARIABLES	componentcontext compon context componentcontext compon context version upstreamdepend upstream depend downstreamdepend downstream depend existingproperti exist properti bundl symbol projectoper project oper metadatadependencyregistri metadata depend registri metadataservic metadata servic bundleversioninfo bundl version info project metadata identifi version ver result roovers roo version newproperti properti major minor patch qualifi result 
