VARSIG7	attribut attribut 
VARSIG6	qname 
VARSIG9	attributenam attribut 
VARSIG8	attribut attribut 
VARSIG3	attribut attribut 
VARSIG2	qname 
VARSIG5	localnam local 
VARSIG4	uri 
COMMENTS	link contenthandl content handler implement convert roo dbre xml file link databas object 
VARSIG1	localnam local 
VARSIG0	uri 
VARSIG17	 
MTHSIG4	gettabl tabl attribut attribut 
VARSIG12	attribut attribut 
MTHSIG5	getcolumn column attribut attribut 
VARSIG11	attribut attribut 
MTHSIG6	getcolumnerrormessag column error messag attributenam attribut 
VARSIG10	 
MTHSIG7	getforeignkei foreign kei attribut attribut 
MTHSIG0	databasecontenthandl databas content handler 
VARSIG16	kei 
MTHSIG1	getdatabas databas 
VARSIG15	attribut attribut 
PACKAGE	springframework roo addon dbre model 
MTHSIG2	startel start element uri localnam local qname attribut attribut 
VARSIG14	indextyp type indextyp type 
MTHSIG3	endel element uri localnam local qname 
VARSIG13	attribut attribut 
MTHSIG8	getrefer refer attribut attribut 
MTHSIG9	getindex attribut attribut indextyp type indextyp type 
CLASSES	databasecontenthandl databas content handler 
METHODS	databasecontenthandl databas content handler getdatabas databas startel start element endel element gettabl tabl getcolumn column getcolumnerrormessag column error messag getforeignkei foreign kei getrefer refer getindex getindexcolumn column 
MTHSIG10	getindexcolumn column attribut attribut 
VARIABLES	uri localnam local qname attribut uri localnam local qname attribut attribut attributenam attribut attribut attribut attribut indextyp type attribut kei stack databas tabl destinationpackag destin tmp option foreignkei foreign kei tabl tabl type datatypeandnam data type datatyp data type typenam type size columns column size decimaldigit decim digit precisionscal precis scale column foreignkei foreign kei kei 
