VARSIG7	solrsearchannotationvalu solr search annot valu searchannotationvalu search annot valu 
VARSIG6	solrwebsearchannotationvalu solr web search annot valu solrwebsearchannotationvalu solr web search annot valu 
VARSIG9	solrwebsearchannotationvalu solr web search annot valu solrwebsearchannotationvalu solr web search annot valu 
VARSIG8	webscaffoldannotationvalu web scaffold annot valu webscaffoldannotationvalu web scaffold annot valu 
VARSIG3	solrwebsearchannotationvalu solr web search annot valu annotationvalu annot valu 
VARSIG2	physicaltypemetadata physic type metadata governorphysicaltypemetadata governor physic type metadata 
VARSIG5	solrsearchannotationvalu solr search annot valu solrsearchannotationvalu solr search annot valu 
VARSIG4	webscaffoldannotationvalu web scaffold annot valu webscaffoldannotationvalu web scaffold annot valu 
COMMENTS	metadata link roosolrwebsearch roo solr web searchabl creat represent desir output access paramet scan treat match authorit scan superclass caller expect scan current expect won check paramet 
VARSIG19	metadataidentificationstr metadata identif 
VARSIG1	javatyp type aspectnam aspect 
VARSIG18	metadataidentificationstr metadata identif 
VARSIG0	identifi 
VARSIG17	path path 
MTHSIG4	methodexist exist javasymbolnam symbol methodnam 
VARSIG12	paramnam 
MTHSIG5	tostr 
VARSIG11	webscaffoldannotationvalu web scaffold annot valu webscaffoldannotationvalu web scaffold annot valu 
MTHSIG6	getmetadataidentifertyp metadata identif type 
VARSIG10	solrsearchannotationvalu solr search annot valu searchannotationvalu search annot valu 
MTHSIG7	createidentifi creat identifi javatyp type javatyp type path path 
MTHSIG0	solrwebsearchmetadata solr web search metadata identifi javatyp type aspectnam aspect physicaltypemetadata physic type metadata governorphysicaltypemetadata governor physic type metadata solrwebsearchannotationvalu solr web search annot valu annotationvalu annot valu webscaffoldannotationvalu web scaffold annot valu webscaffoldannotationvalu web scaffold annot valu solrsearchannotationvalu solr search annot valu solrsearchannotationvalu solr search annot valu 
VARSIG16	javatyp type javatyp type 
MTHSIG1	getsearchmethod search solrwebsearchannotationvalu solr web search annot valu solrwebsearchannotationvalu solr web search annot valu solrsearchannotationvalu solr search annot valu searchannotationvalu search annot valu webscaffoldannotationvalu web scaffold annot valu webscaffoldannotationvalu web scaffold annot valu 
VARSIG15	methodmetadata metadata 
PACKAGE	springframework roo addon solr 
MTHSIG2	getautocompletemethod autocomplet solrwebsearchannotationvalu solr web search annot valu solrwebsearchannotationvalu solr web search annot valu solrsearchannotationvalu solr search annot valu searchannotationvalu search annot valu webscaffoldannotationvalu web scaffold annot valu webscaffoldannotationvalu web scaffold annot valu 
VARSIG14	javasymbolnam symbol methodnam 
MTHSIG3	getrequestparamannot request annot paramnam requir 
VARSIG13	requir 
MTHSIG8	getjavatyp type metadataidentificationstr metadata identif 
MTHSIG9	getpath path metadataidentificationstr metadata identif 
CLASSES	solrwebsearchmetadata solr web search metadata 
METHODS	solrwebsearchmetadata solr web search metadata getsearchmethod search getautocompletemethod autocomplet getrequestparamannot request annot methodexist exist tostr getmetadataidentifertyp metadata identif type createidentifi creat identifi getjavatyp type getpath path isvalid valid 
VARSIG20	metadataidentificationstr metadata identif 
MTHSIG10	isvalid valid metadataidentificationstr metadata identif 
VARIABLES	identifi aspectnam aspect governorphysicaltypemetadata governor physic type metadata annotationvalu annot valu webscaffoldannotationvalu web scaffold annot valu solrsearchannotationvalu solr search annot valu solrwebsearchannotationvalu solr web search annot valu searchannotationvalu search annot valu webscaffoldannotationvalu web scaffold annot valu solrwebsearchannotationvalu solr web search annot valu searchannotationvalu search annot valu webscaffoldannotationvalu web scaffold annot valu paramnam requir methodnam javatyp type path metadataidentificationstr metadata identif metadataidentificationstr metadata identif metadataidentificationstr metadata identif type type targetobject target object methodnam paramtyp type paramnam name requestmappingattribut request map attribut requestmap request map annot solrquerysimplenam solr queri simpl bodybuild bodi builder methodbuild builder methodnam reqmapattribut req map attribut annot paramtyp type paramnam name solrquerysimplenam solr queri simpl facetfieldsimplenam facet field simpl queryresponsesimplenam queri respons simpl bodybuild bodi builder methodbuild builder attributevalu attribut paramannot annot annotationbuild annot builder tsc 
