VARSIG7	version 
VARSIG6	artifactid artifact 
VARSIG9	artifactid artifact 
VARSIG8	groupid group 
VARSIG3	dependencytyp depend type type 
VARSIG2	version 
VARSIG5	groupid group 
VARSIG4	dependencyscop depend scope scope 
COMMENTS	simplifi immut represent depend structur model maven ivi replac releas osgi centric model creat immut link depend groupid group group requir artifactid artifact artifact requir version version requir type depend type requir scope depend scope requir conveni constructor produc jar depend groupid group group requir artifactid artifact artifact requir version version requir conveni constructor produc jar depend groupid group group requir artifactid artifact artifact requir version version requir exclus exclus depend conveni constructor xml element repres maven depend pars requir test maven format pom attribut support maven jar reassign pom attribut support maven pars exclus test ivi format todo implement exclus parser ivi format list exclus simpl descript consol output 
VARSIG1	artifactid artifact 
VARSIG0	groupid group 
MTHSIG4	getgroupid group 
VARSIG12	element depend 
MTHSIG5	getartifactid artifact 
VARSIG11	list depend exclus 
MTHSIG6	getversionid version 
VARSIG10	version 
MTHSIG7	gettyp type 
MTHSIG0	depend groupid group artifactid artifact version dependencytyp depend type type dependencyscop depend scope scope 
VARSIG16	depend 
MTHSIG1	depend groupid group artifactid artifact version 
VARSIG15	object obj 
PACKAGE	springframework roo project 
MTHSIG2	depend groupid group artifactid artifact version list depend exclus 
VARSIG14	element exclus 
MTHSIG3	depend element depend 
VARSIG13	illegalargumentexcept illeg argument except 
MTHSIG8	getscop scope 
MTHSIG9	getsystempath system path 
MTHSIG15	tostr 
MTHSIG13	compareto compar depend 
MTHSIG14	getsimpledescript simpl descript 
MTHSIG11	hashcod hash code 
MTHSIG12	equal object obj 
CLASSES	depend 
METHODS	depend depend depend depend getgroupid group getartifactid artifact getversionid version gettyp type getscop scope getsystempath system path getexclus exclus hashcod hash code equal compareto compar getsimpledescript simpl descript tostr 
MTHSIG10	getexclus exclus 
VARIABLES	groupid group artifactid artifact version type scope groupid group artifactid artifact version groupid group artifactid artifact version exclus depend exclus obj groupid group artifactid artifact version type scope exclus systempath system path versionel version element path exclusionlist exclus list exclusion exclus exclusionid exclus exclusionartifact exclus artifact exclusionartifactid exclus artifact result tsc 
