VARSIG39	gwttype gwt type type 
MTHSIG4	builddictionari build dictionari gwttype gwt type type 
VARSIG34	templatedatadictionari templat data dictionari datadictionari data dictionari 
MTHSIG5	buildstandarddatadictionari build standard data dictionari gwttype gwt type type 
VARSIG33	gwtproxyproperti gwt proxi properti properti 
MTHSIG6	addimport add templatedatadictionari templat data dictionari datadictionari data dictionari simplenam simpl gwttype gwt type gwttype gwt type projectmetadata project metadata projectmetadata project metadata 
VARSIG32	gwttype gwt type refer 
MTHSIG7	getclienttypemap client type map classorinterfacetypedetail type detail governortypedetail governor type detail 
VARSIG31	entitymetadata entiti metadata entitymetadata entiti metadata 
MTHSIG0	getmirrortemplatetypedetail mirror templat type detail classorinterfacetypedetail type detail governortypedetail governor type detail map javasymbolnam symbol gwtproxyproperti gwt proxi properti clientsidetypemap client side type map 
VARSIG38	templatedatadictionari templat data dictionari datadictionari data dictionari 
MTHSIG1	getstatictemplatetypedetail templat type detail gwttype gwt type type 
VARSIG37	gwttype gwt type desttyp dest type 
PACKAGE	springframework roo addon gwt 
MTHSIG2	gettemplatecont templat content templatenam templat templatedatadictionari templat data dictionari datadictionari data dictionari 
VARSIG36	map gwttype gwt type javatyp type mirrortypemap mirror type map 
MTHSIG3	gettemplatedetail templat detail templatedatadictionari templat data dictionari datadictionari data dictionari templatefil templat file javatyp type templatetyp templat type 
VARSIG35	gwttype gwt type type 
MTHSIG8	getprojectmetadata project metadata 
VARSIG30	map javasymbolnam symbol gwtproxyproperti gwt proxi properti clientsidetypemap client side type map 
MTHSIG9	buildmirrordatadictionari build mirror data dictionari gwttype gwt type type classorinterfacetypedetail type detail governortypedetail governor type detail map gwttype gwt type javatyp type mirrortypemap mirror type map map javasymbolnam symbol gwtproxyproperti gwt proxi properti clientsidetypemap client side type map entitymetadata entiti metadata entitymetadata entiti metadata 
CLASSES	gwttemplatingserviceimpl gwt templat servic impl 
VARSIG29	map gwttype gwt type javatyp type mirrortypemap mirror type map 
VARSIG28	classorinterfacetypedetail type detail governortypedetail governor type detail 
METHODS	getmirrortemplatetypedetail mirror templat type detail getstatictemplatetypedetail templat type detail gettemplatecont templat content gettemplatedetail templat detail builddictionari build dictionari buildstandarddatadictionari build standard data dictionari addimport add getclienttypemap client type map getprojectmetadata project metadata buildmirrordatadictionari build mirror data dictionari addrefer add refer getdestinationjavatyp destin type addrefer add refer isreadonli read addimport add maybeaddimport add addimport add getcollectionimplement collect implement 
VARSIG23	projectmetadata project metadata projectmetadata project metadata 
VARSIG22	gwttype gwt type gwttype gwt type 
VARSIG21	simplenam simpl 
VARSIG20	templatedatadictionari templat data dictionari datadictionari data dictionari 
VARSIG27	gwttype gwt type type 
VARSIG26	methodmetadata metadata 
VARSIG25	memberholdingtypedetail member hold type detail memberholdingtypedetail member hold type detail 
VARSIG24	classorinterfacetypedetail type detail governortypedetail governor type detail 
VARSIG7	templateexcept templat except 
VARSIG6	templatedatadictionari templat data dictionari datadictionari data dictionari 
VARSIG9	templatefil templat file 
VARSIG8	templatedatadictionari templat data dictionari datadictionari data dictionari 
VARSIG3	gwtproxyproperti gwt proxi properti proxyproperti proxi properti 
VARSIG2	gwttype gwt type gwttype gwt type 
VARSIG5	templatenam templat 
VARSIG4	gwttype gwt type type 
COMMENTS	basic implement link gwttemplatingservic gwt templat servic creat link classorinterfacetypedetail type detail object sourc file creat templat templat concern place drop filenam drop proxi suffix filenam drop filenam drop proxi suffix filenam drop filenam drop proxi suffix filenam drop filenam drop proxi suffix filenam drop filenam drop proxi suffix filenam determin primari properti choos field favor properti type choos properti favor properti type determin properti add mobil properti 
VARSIG19	gwttype gwt type refer 
VARSIG1	map javasymbolnam symbol gwtproxyproperti gwt proxi properti clientsidetypemap client side type map 
VARSIG18	gwttype gwt type type 
VARSIG0	classorinterfacetypedetail type detail governortypedetail governor type detail 
VARSIG17	filedetail file detail 
VARSIG12	gwttype gwt type type 
VARSIG11	except 
VARSIG10	javatyp type templatetyp templat type 
VARSIG16	filedetail file detail 
VARSIG15	filedetail file detail 
VARSIG14	filedetail file detail 
VARSIG13	filedetail file detail 
VARSIG51	javatyp type javatyp type 
VARSIG50	javatyp type 
MTHSIG17	getcollectionimplement collect implement javatyp type javatyp type 
MTHSIG15	maybeaddimport add templatedatadictionari templat data dictionari datadictionari data dictionari set importset set javatyp type type 
MTHSIG16	addimport add templatedatadictionari templat data dictionari datadictionari data dictionari javatyp type type 
MTHSIG13	isreadonli read classorinterfacetypedetail type detail governortypedetail governor type detail entitymetadata entiti metadata entitymetadata entiti metadata 
MTHSIG14	addimport add templatedatadictionari templat data dictionari datadictionari data dictionari importdeclar declar 
MTHSIG11	getdestinationjavatyp destin type gwttype gwt type desttyp dest type 
