VARSIG3	map xmlmap xml map 
VARSIG2	list classorinterfacetypedetail type detail typelist type list 
COMMENTS	holder type xml file creat link gwttemplatingservic gwt templat servic 
CLASSES	gwttemplatedatahold gwt templat data holder 
VARSIG1	map gwttype gwt type xmltemplat xml templat 
VARSIG0	map gwttype gwt type classorinterfacetypedetail type detail templatetypedetailsmap templat type detail map 
METHODS	gwttemplatedatahold gwt templat data holder gettemplatetypedetailsmap templat type detail map getxmltempl xml templat gettypelist type list getxmlmap xml map 
MTHSIG4	getxmlmap xml map 
MTHSIG0	gwttemplatedatahold gwt templat data holder map gwttype gwt type classorinterfacetypedetail type detail templatetypedetailsmap templat type detail map map gwttype gwt type xmltemplat xml templat list classorinterfacetypedetail type detail typelist type list map xmlmap xml map 
MTHSIG1	gettemplatetypedetailsmap templat type detail map 
PACKAGE	springframework roo addon gwt 
MTHSIG2	getxmltempl xml templat 
MTHSIG3	gettypelist type list 
VARIABLES	templatetypedetailsmap templat type detail map xmltemplat xml templat typelist type list xmlmap xml map templatetypedetailsmap templat type detail map xmltemplat xml templat typelist type list xmlmap xml map 
