VARSIG7	identifierfield identifi field 
VARSIG6	javatyp type identifiertyp identifi type 
VARSIG9	javatyp type entiti 
VARSIG8	identifiercolumn identifi column 
VARSIG3	list annotationmetadatabuild annot metadata builder annot 
VARSIG2	javatyp type superclass 
VARSIG5	serializ 
VARSIG4	javatyp type 
COMMENTS	implement link entityoper entiti oper verifi request entiti exist file exist verifi request entiti exist check request entiti jpa entiti proce file exist entiti entiti lookup requir type detail except pars 
VARSIG1	createabstract creat 
VARSIG0	javatyp type 
MTHSIG4	newintegrationtest integr test javatyp type entiti 
VARSIG12	path path 
MTHSIG5	newdod dod javatyp type entiti javatyp type path path 
VARSIG11	javatyp type 
MTHSIG6	getent entiti javatyp type entiti 
VARSIG10	javatyp type entiti 
MTHSIG0	ispersistentclassavail persist 
MTHSIG1	newent entiti javatyp type createabstract creat javatyp type superclass list annotationmetadatabuild annot metadata builder annot 
PACKAGE	springframework roo addon entiti 
MTHSIG2	newembeddableclass embedd javatyp type serializ 
MTHSIG3	newidentifi identifi javatyp type identifiertyp identifi type identifierfield identifi field identifiercolumn identifi column 
VARSIG13	javatyp type entiti 
CLASSES	entityoperationsimpl entiti oper impl 
METHODS	ispersistentclassavail persist newent entiti newembeddableclass embedd newidentifi identifi newintegrationtest integr test newdod dod getent entiti 
VARIABLES	createabstract creat superclass annot serializ identifiertyp identifi type identifierfield identifi field identifiercolumn identifi column entiti entiti path entiti filemanag file manag metadataservic metadata servic memberdetailsscann member detail scanner projectoper project oper typelocationservic type locat servic typemanagementservic type manag servic declaredbymetadataid declar metadata modifi typedetailsbuild type detail builder superclassclassorinterfacetypedetail superclass type detail extendstyp type declaredbymetadataid declar metadata annot modifi typedetailsbuild type detail builder declaredbymetadataid declar metadata identifierannot identifi annot typedetailsbuild type detail builder classorinterfacetypedetail type detail declaredbymetadataid declar metadata annot config method methodannot annot methodbuild builder typedetailsbuild type detail builder classorinterfacetypedetail type detail memberdetail member detail entityannot entiti annot declaredbymetadataid declar metadata annot dodconfig dod config typedetailsbuild type detail builder physicaltypeidentifi physic type identifi ptm ptd 
