VARSIG6	shellstatuslisten shell statu listen listen 
VARSIG3	statu shellstatu shell statu 
VARSIG2	statu shellstatu shell statu 
VARSIG5	parseresult pars result parseresult pars result 
VARSIG4	msg 
COMMENTS	conveni superclass shell wish publish statu messag 
CLASSES	abstractshellstatuspublish shell statu publish 
VARSIG1	shellstatuslisten shell statu listen shellstatuslisten shell statu listen 
VARSIG0	shellstatuslisten shell statu listen shellstatuslisten shell statu listen 
METHODS	addshellstatuslisten add shell statu listen getshellstatu shell statu removeshellstatuslisten remov shell statu listen setshellstatu set shell statu setshellstatu set shell statu 
MTHSIG4	setshellstatu set shell statu statu shellstatu shell statu msg parseresult pars result parseresult pars result 
MTHSIG0	addshellstatuslisten add shell statu listen shellstatuslisten shell statu listen shellstatuslisten shell statu listen 
MTHSIG1	getshellstatu shell statu 
PACKAGE	springframework roo shell event 
MTHSIG2	removeshellstatuslisten remov shell statu listen shellstatuslisten shell statu listen shellstatuslisten shell statu listen 
MTHSIG3	setshellstatu set shell statu statu shellstatu shell statu 
VARIABLES	shellstatuslisten shell statu listen shellstatuslisten shell statu listen shellstatu shell statu shellstatu shell statu msg parseresult pars result listen shellstatuslisten shell statu listen shellstatu shell statu 
