MTHSIG28	setup 
MTHSIG29	updatebuildoutputdirectori updat build output directori 
MTHSIG26	scaffoldal scaffold javapackag proxypackag proxi javapackag requestpackag request 
MTHSIG27	scaffoldtyp scaffold type javapackag proxypackag proxi javapackag requestpackag request javatyp type type 
MTHSIG24	requestal request javapackag proxypackag proxi 
MTHSIG25	requesttyp request type javapackag requestpackag request javatyp type type 
MTHSIG22	proxytyp proxi type javapackag proxypackag proxi javatyp type type 
MTHSIG23	removeiffound remov xpath element webxmlroot web xml root 
MTHSIG4	createproxi creat proxi classorinterfacetypedetail type detail entiti javapackag destinationpackag destin 
MTHSIG5	createrequestinterfac creat request classorinterfacetypedetail type detail entiti javapackag destinationpackag destin 
MTHSIG6	createunmanagedrequestinterfac creat unmanag request classorinterfacetypedetail type detail entiti javapackag destinationpackag destin 
MTHSIG7	createrequestinterfaceifnecessari creat request classorinterfacetypedetail type detail entiti javapackag destinationpackag destin 
MTHSIG0	activ componentcontext compon context context 
MTHSIG1	addpackagetogwtxml add gwt xml javapackag sourcepackag sourc 
MTHSIG2	copydirectorycont copi directori content 
MTHSIG3	copydirectorycont copi directori content gwtpath gwt path gwtpath gwt path 
MTHSIG20	proxyandrequestal proxi request javapackag proxyandrequestpackag proxi request 
MTHSIG21	proxyandrequesttyp proxi request type javapackag proxyandrequestpackag proxi request javatyp type type 
MTHSIG8	createscaffold creat scaffold classorinterfacetypedetail type detail proxi 
MTHSIG9	deleteuntouchedsetupfil delet untouch setup file sourceantpath sourc ant path targetdirectori target directori 
MTHSIG39	updatewebxml updat web xml 
MTHSIG37	updaterepositori updat repositori element configur 
MTHSIG38	updatescaffoldboilerpl updat scaffold boiler plate 
MTHSIG35	updategaeconfigur updat gae configur 
MTHSIG36	updategaehelp updat gae helper 
MTHSIG33	updateeclipseplugin updat plugin 
MTHSIG34	updatefil updat file sourceantpath sourc ant path targetdirectori target directori segmentpackag segment overwrit 
METHODS	activ addpackagetogwtxml add gwt xml copydirectorycont copi directori content copydirectorycont copi directori content createproxi creat proxi createrequestinterfac creat request createunmanagedrequestinterfac creat unmanag request createrequestinterfaceifnecessari creat request createscaffold creat scaffold deleteuntouchedsetupfil delet untouch setup file getgaehookup gae hookup getnam getpompath pom path getroogwtrequestannot roo gwt request annot getroogwtunmanagedrequestannot roo gwt unmanag request annot isgwtinstallationposs gwt instal isinstalledinmodul instal modul isscaffoldavail scaffold processtempl process templat proxyal proxi proxyandrequestal proxi request proxyandrequesttyp proxi request type proxytyp proxi type removeiffound remov requestal request requesttyp request type scaffoldal scaffold scaffoldtyp scaffold type setup updatebuildoutputdirectori updat build output directori updatebuildplugin updat build plugin updatedepend updat depend updateproperti updat properti updateeclipseplugin updat plugin updatefil updat file updategaeconfigur updat gae configur updategaehelp updat gae helper updaterepositori updat repositori updatescaffoldboilerpl updat scaffold boiler plate updatewebxml updat web xml 
MTHSIG31	updatedepend updat depend element configur 
MTHSIG32	updateproperti updat properti element configur isgaeen gae enabl 
MTHSIG30	updatebuildplugin updat build plugin isgaeen gae enabl 
VARSIG61	element repositoryel repositori element 
VARSIG60	element repositoryel repositori element 
