VARSIG7	isgaeen gae enabl 
VARSIG6	jpaentityannotationvalu jpa entiti annot valu annotationvalu annot valu 
VARSIG9	list fieldmetadata field metadata identifierfield identifi field 
VARSIG8	isdatabasedotcomen databas dot enabl 
VARSIG3	jpaentitymetadata jpa entiti metadata parent 
VARSIG2	physicaltypemetadata physic type metadata entityphysicaltyp entiti physic type 
VARSIG5	identifi identifi 
VARSIG4	memberdetail member detail entitymemberdetail entiti member detail 
COMMENTS	metadata jpa entiti entiti roo jpa entiti constructor metadataidentificationstr metadata identif jpa link metadataitem metadata item itdnam itd link javatyp type requir entityphysicaltyp entiti physic type entiti entiti physic type requir parent governor governor ancestor provid link jpaentitymetadata jpa entiti metadata entitymemberdetail entiti member detail detail entiti entiti member requir identifi entiti entiti identifi field event annot doesn provid annotationvalu annot valu effect annot valu account presenc link roojpaactiverecord roo jpa activ record link roojpaent roo jpa entiti annot requir ideal pass paramet method store field isn option call parent entiti add entiti mappedsuperclass map superclass annot add tabl annot requir add inherit annot requir add discriminatorcolumn discrimin column requir ensur there arg constructor explicit add identifi field accessor add version field accessor build base builder theoret requir base discriminatorcolumn discrimin column javadoc doc hibern appear fail miss gener jpa entiti annot appli entiti locat identifi accessor link getidentifierfield identifi field return field creat field declar entiti accessor automat produc declar accessor return locat identifi field comput accessor produc user field locat exist accessor exist requir accessor uniqu declar field produc accessor locat identifi field parent defin provid field parent defin locat creat declar inherit field link javax persist link javax persist embeddedid embed embeddedid embed annot identifi return field locat field creat detail contain link roojpaactiverecord roo jpa activ record link roojpaent roo jpa entiti annot applic parent project user user project requir annotationvalu annot valu identifi identifi return locat exist field javax persist locat exist field javax persist embeddedid embed ensur isn field call comput uniqu fatal situat dai creat encod string gae support entiti group hierarchi comput column requir roo generatedvalu gener strategi generationtyp gener type tabl root governor declar inherit strategi inheritancetyp inherit type tabl user altern column add length attribut field add precis scale attribut numer field locat identifi mutat link getidentifierfield identifi field return field creat field declar entiti mutat automat produc declar mutat return todo temporari workaround support web data bind approach review locat identifi field comput accessor produc user field locat exist mutat exist requir mutat uniqu declar field produc mutat return link javatyp type identifi field annotationvalu annot valu valu link roojpaent roo jpa entiti annot requir identifi type return jpa inherit annot appli entiti applic annotationvalu annot valu valu link roojpaent roo jpa entiti annot requir requir locat arg constructor defin arg constructor return irrespect access modifi constructor declar sourc file creat access constructor produc search exist constructor exist arg constructor user defin arg constructor creat constructor add creat constructor gener jpa tabl annot appli entiti annotationvalu annot valu locat version accessor link getversionfield version field return field creat version field declar entiti accessor automat produc declar memberdetail member detail version accessor version field declar there version field won accessor parent parent respons provid accessor comput accessor produc user field locat exist accessor exist requir accessor uniqu declar field produc accessor locat version field parent defin provid field parent defin locat creat declar inherit field annot javax persist version version return field locat field creat detail contain link roojpaactiverecord roo jpa activ record link roojpaent roo jpa entiti annot applic version field locat exist field version quit stage user doesn version field ensur isn field call version comput uniqu fatal situat dai creat locat version mutat link getversionfield version field return field creat version field declar entiti mutat automat produc declar mutat version field declar todo temporari workaround support web data bind approach review locat version field comput mutat produc there version field won mutat comput mutat produc user field locat exist mutat exist requir mutat uniqu declar field produc mutat 
VARSIG1	javatyp type itdnam 
VARSIG0	metadataidentificationstr metadata identif 
MTHSIG4	getidentifiercolumn identifi column 
MTHSIG5	getidentifierfield identifi field 
MTHSIG6	getidentifierfield identifi field list fieldmetadata field metadata identifierfield identifi field javatyp type identifiertyp identifi type 
VARSIG10	javatyp type identifiertyp identifi type 
MTHSIG7	getidentifierfieldnam identifi field 
MTHSIG0	jpaentitymetadata jpa entiti metadata metadataidentificationstr metadata identif javatyp type itdnam physicaltypemetadata physic type metadata entityphysicaltyp entiti physic type jpaentitymetadata jpa entiti metadata parent memberdetail member detail entitymemberdetail entiti member detail identifi identifi jpaentityannotationvalu jpa entiti annot valu annotationvalu annot valu isgaeen gae enabl isdatabasedotcomen databas dot enabl 
MTHSIG1	getdiscriminatorcolumnannot discrimin column annot 
PACKAGE	springframework roo addon jpa entiti 
MTHSIG2	getentityannot entiti annot 
MTHSIG3	getidentifieraccessor identifi accessor 
MTHSIG8	getidentifiermut identifi mutat 
MTHSIG9	getidentifiertyp identifi type 
MTHSIG15	getversionmut version mutat 
MTHSIG13	getversionaccessor version accessor 
MTHSIG14	getversionfield version field 
MTHSIG11	getnoargconstructor arg constructor 
MTHSIG12	gettableannot tabl annot 
CLASSES	jpaentitymetadata jpa entiti metadata 
METHODS	jpaentitymetadata jpa entiti metadata getdiscriminatorcolumnannot discrimin column annot getentityannot entiti annot getidentifieraccessor identifi accessor getidentifiercolumn identifi column getidentifierfield identifi field getidentifierfield identifi field getidentifierfieldnam identifi field getidentifiermut identifi mutat getidentifiertyp identifi type getinheritanceannot inherit annot getnoargconstructor arg constructor gettableannot tabl annot getversionaccessor version accessor getversionfield version field getversionmut version mutat 
MTHSIG10	getinheritanceannot inherit annot 
VARIABLES	metadataidentificationstr metadata identif itdnam entityphysicaltyp entiti physic type parent entitymemberdetail entiti member detail identifi annotationvalu annot valu isgaeen gae enabl isdatabasedotcomen databas dot enabl identifierfield identifi field identifiertyp identifi type annotationvalu annot valu entitymemberdetail entiti member detail identifi isdatabasedotcomen databas dot enabl isgaeen gae enabl parent identifierfield identifi field versionfield version field entityannot entiti annot entitybuild entiti builder requiredaccessornam requir accessor bodybuild bodi builder idfield field idfield field embeddedidfield embed field idfield field identifiertyp identifi type annot hasidclass annotationtyp annot type extensionbuild extens builder generationtyp gener type inherit enumattributevalu attribut detail generatedvaluebuild gener builder sequencekei sequenc kei sequencegeneratorbuild sequenc gener builder identifiercolumn identifi column columnnam column columnbuild column builder requiredmutatornam requir mutat parametertyp paramet type parameternam paramet name bodybuild bodi builder inheritancebuild inherit builder existingexplicitconstructor exist explicit constructor bodybuild bodi builder constructorbuild constructor builder tableannot tabl annot catalog schema tabl tablebuild tabl builder result requiredaccessornam requir accessor bodybuild bodi builder result versionfield version field versionfield version field verfield ver field versiontyp version type versioncolumn version column annot columnbuild column builder requiredmutatornam requir mutat parametertyp paramet type parameternam paramet name bodybuild bodi builder 
