VARSIG3	messag 
VARSIG2	createoper creat oper 
VARSIG5	includehashcod includ hash code 
VARSIG4	hashcod hash code 
COMMENTS	displai charact consist git hash code displai convent 
CLASSES	managedmessagerender manag messag render 
VARSIG1	file file 
VARSIG0	filenameresolv filenam resolv filenameresolv filenam resolv 
METHODS	managedmessagerender manag messag render isincludehashcod includ hash code logmanagedmessag log manag messag setdescriptionofchang set descript chang sethashcod set hash code setincludehashcod set includ hash code 
MTHSIG4	sethashcod set hash code hashcod hash code 
MTHSIG5	setincludehashcod set includ hash code includehashcod includ hash code 
MTHSIG0	managedmessagerender manag messag render filenameresolv filenam resolv filenameresolv filenam resolv file file createoper creat oper 
MTHSIG1	isincludehashcod includ hash code 
PACKAGE	springframework roo process manag intern 
MTHSIG2	logmanagedmessag log manag messag 
MTHSIG3	setdescriptionofchang set descript chang messag 
VARIABLES	filenameresolv filenam resolv file createoper creat oper messag hashcod hash code includehashcod includ hash code logger createoper creat oper descriptionofchang descript chang file filenameresolv filenam resolv hashcod hash code includehashcod includ hash code messag 
