VARSIG7	javatyp type 
VARSIG6	permitreservedword permit reserv 
VARSIG9	javatyp type 
VARSIG8	set field 
VARSIG3	javatyp type superclass 
VARSIG2	logicalpath logic path path 
VARSIG5	createabstract creat 
VARSIG4	javatyp type implementstyp type 
COMMENTS	classpath oper creat sourc file project path creat rooannot roo annot gener common roo annot path sourc directori creat superclass superclass default link object implementstyp type implement createabstract creat gener mark permitreservedword permit reserv reserv roo creat constructor field set field arg constructor creat field empti suppli field exist return silent requir field field includ constructor creat sourc file project path creat path sourc directori creat permitreservedword permit reserv reserv roo creat sourc file project path creat path sourc directori creat permitreservedword permit reserv reserv roo insert constant receiv field fieldnam field constant permitreservedword permit reserv reserv roo focu type type type focu requir 
VARSIG1	rooannot roo annot 
VARSIG18	javatyp type type 
VARSIG0	javatyp type 
VARSIG17	permitreservedword permit reserv 
MTHSIG4	enumconst constant javatyp type javasymbolnam symbol fieldnam field permitreservedword permit reserv 
VARSIG12	javatyp type 
MTHSIG5	focu javatyp type type 
VARSIG11	permitreservedword permit reserv 
MTHSIG6	isprojectavail project 
VARSIG10	logicalpath logic path path 
MTHSIG0	createclass creat javatyp type rooannot roo annot logicalpath logic path path javatyp type superclass javatyp type implementstyp type createabstract creat permitreservedword permit reserv 
VARSIG16	javasymbolnam symbol fieldnam field 
MTHSIG1	createconstructor creat constructor javatyp type set field 
VARSIG15	javatyp type 
PACKAGE	springframework roo classpath oper 
MTHSIG2	createenum creat javatyp type logicalpath logic path path permitreservedword permit reserv 
VARSIG14	permitreservedword permit reserv 
MTHSIG3	createinterfac creat javatyp type logicalpath logic path path permitreservedword permit reserv 
VARSIG13	logicalpath logic path path 
CLASSES	classpathoper classpath oper 
METHODS	createclass creat createconstructor creat constructor createenum creat createinterfac creat enumconst constant focu isprojectavail project 
VARIABLES	rooannot roo annot path superclass implementstyp type createabstract creat permitreservedword permit reserv field path permitreservedword permit reserv path permitreservedword permit reserv fieldnam field permitreservedword permit reserv type 
