MTHSIG4	getcustomdatakei custom data kei 
VARSIG34	map pluralmap plural map 
MTHSIG5	getfieldsinterestedin field interest list memberholdingtypedetail member hold type detail memberholdingtypedetailslist member hold type detail list 
VARSIG33	list memberholdingtypedetail member hold type detail memberholdingtypedetailslist member hold type detail list 
MTHSIG6	getmostconcreteclassorinterfacetypedetail concret type detail list memberholdingtypedetail member hold type detail memberholdingtypedetailslist member hold type detail list 
VARSIG32	list memberholdingtypedetail member hold type detail memberholdingtypedetailslist member hold type detail list 
MTHSIG7	getprefix prefix 
VARSIG31	annotationmetadata annot metadata annotationmetadata annot metadata 
MTHSIG0	methodmatch matcher collect fieldmatch field matcher fieldtagg field tagger customdatakei custom data kei methodmetadata metadata customdatakei custom data kei isaccessor accessor 
MTHSIG1	methodmatch matcher customdatakei custom data kei methodmetadata metadata customdatakei custom data kei javatyp type catalystannotationtyp catalyst annot type javasymbolnam symbol userdefinednameattribut user defin attribut defaultnam 
VARSIG37	methodmetadata metadata 
PACKAGE	springframework roo classpath customdata tagger 
MTHSIG2	methodmatch matcher customdatakei custom data kei methodmetadata metadata customdatakei custom data kei javatyp type catalystannotationtyp catalyst annot type javasymbolnam symbol userdefinednameattribut user defin attribut defaultnam suffixplur suffix plural suffixsingular suffix singular 
VARSIG36	memberholdingtypedetail member hold type detail memberholdingtypedetail member hold type detail 
MTHSIG3	methodmatch matcher customdatakei custom data kei methodmetadata metadata customdatakei custom data kei javatyp type catalystannotationtyp catalyst annot type javasymbolnam symbol userdefinednameattribut user defin attribut defaultnam suffixplur suffix plural suffixsingular suffix singular additionalsuffix addit suffix 
VARSIG35	fieldmetadata field metadata field 
MTHSIG8	getsuffix suffix list memberholdingtypedetail member hold type detail memberholdingtypedetailslist member hold type detail list singular map pluralmap plural map 
VARSIG30	map pluralmap plural map 
MTHSIG9	gettagvalu tag methodmetadata metadata kei 
CLASSES	methodmatch matcher 
VARSIG29	list memberholdingtypedetail member hold type detail memberholdingtypedetailslist member hold type detail list 
VARSIG28	methodmetadata metadata kei 
METHODS	methodmatch matcher methodmatch matcher methodmatch matcher methodmatch matcher getcustomdatakei custom data kei getfieldsinterestedin field interest getmostconcreteclassorinterfacetypedetail concret type detail getprefix prefix getsuffix suffix gettagvalu tag getuserdefinedmethod user defin match match 
VARSIG23	memberholdingtypedetail member hold type detail memberholdingtypedetail member hold type detail 
VARSIG22	list memberholdingtypedetail member hold type detail memberholdingtypedetailslist member hold type detail list 
VARSIG21	fieldmatch field matcher fieldtagg field tagger 
VARSIG20	list memberholdingtypedetail member hold type detail memberholdingtypedetailslist member hold type detail list 
VARSIG27	annotationmetadata annot metadata annotationmetadata annot metadata 
VARSIG26	map pluralmap plural map 
VARSIG25	singular 
VARSIG24	list memberholdingtypedetail member hold type detail memberholdingtypedetailslist member hold type detail list 
VARSIG7	customdatakei custom data kei methodmetadata metadata customdatakei custom data kei 
VARSIG6	defaultnam 
VARSIG9	javasymbolnam symbol userdefinednameattribut user defin attribut 
VARSIG8	javatyp type catalystannotationtyp catalyst annot type 
VARSIG3	customdatakei custom data kei methodmetadata metadata customdatakei custom data kei 
VARSIG2	isaccessor accessor 
VARSIG5	javasymbolnam symbol userdefinednameattribut user defin attribut 
VARSIG4	javatyp type catalystannotationtyp catalyst annot type 
COMMENTS	link methodmetadata metadata specif implement link matcher match base field dynam determin base link fieldmatch field matcher present type accessor mutat user roo annot plural singular suffix referenc entiti addit suffix constructor fieldtagg field tagger customdatakei custom data kei isaccessor accessor constructor customdatakei custom data kei catalystannotationtyp catalyst annot type userdefinednameattribut user defin attribut defaultnam constructor customdatakei custom data kei catalystannotationtyp catalyst annot type userdefinednameattribut user defin attribut defaultnam suffixplur suffix plural suffixsingular suffix singular constructor customdatakei custom data kei catalystannotationtyp catalyst annot type userdefinednameattribut user defin attribut defaultnam suffixplur suffix plural suffixsingular suffix singular additionalsuffix addit suffix classorinterfacetypedetail type detail concret dictat logic memberdetailsscannerimpl member detail scanner impl todo dealt 
VARSIG19	additionalsuffix addit suffix 
VARSIG1	customdatakei custom data kei methodmetadata metadata customdatakei custom data kei 
VARSIG18	suffixsingular suffix singular 
VARSIG0	collect fieldmatch field matcher fieldtagg field tagger 
VARSIG17	suffixplur suffix plural 
VARSIG12	suffixsingular suffix singular 
VARSIG11	suffixplur suffix plural 
VARSIG10	defaultnam 
VARSIG16	defaultnam 
VARSIG15	javasymbolnam symbol userdefinednameattribut user defin attribut 
VARSIG14	javatyp type catalystannotationtyp catalyst annot type 
VARSIG13	customdatakei custom data kei methodmetadata metadata customdatakei custom data kei 
