VARSIG7	optioncontext option context 
VARSIG6	existingdata exist data 
VARSIG9	schema schema 
VARSIG8	methodtarget target target 
VARSIG3	schemanam schema 
VARSIG2	optioncontext option context 
VARSIG5	requiredtyp requir type 
VARSIG4	list complet complet 
COMMENTS	convers databas schema 
CLASSES	schemaconvert schema convert 
VARSIG1	requiredtyp requir type 
VARSIG0	 
METHODS	convertfromtext convert text getallpossiblevalu valu support 
VARSIG12	optioncontext option context 
VARSIG11	requiredtyp requir type 
VARSIG10	except 
MTHSIG0	convertfromtext convert text requiredtyp requir type optioncontext option context 
MTHSIG1	getallpossiblevalu valu list complet complet requiredtyp requir type existingdata exist data optioncontext option context methodtarget target target 
PACKAGE	springframework roo addon dbre convert 
MTHSIG2	support requiredtyp requir type optioncontext option context 
VARIABLES	requiredtyp requir type optioncontext option context schemanam schema complet requiredtyp requir type existingdata exist data optioncontext option context target schema requiredtyp requir type optioncontext option context dbremodelservic dbre model servic schema schema 
