MTHSIG15	usexmlconfigur xml configur 
MTHSIG13	getauthorizedreadrol author read role 
MTHSIG14	getauthorizeddeleterol author delet role 
MTHSIG11	usepermissionevalu permiss evalu 
MTHSIG12	getauthorizedcreateorupdaterol author creat updat role 
COMMENTS	valu link rooservic roo servic annot constructor governorphysicaltypemetadata governor physic type metadata pars requir 
CLASSES	serviceannotationvalu servic annot valu 
VARSIG0	physicaltypemetadata physic type metadata governorphysicaltypemetadata governor physic type metadata 
METHODS	serviceannotationvalu servic annot valu getcountallmethod count getdeletemethod delet getdomaintyp domain type getfindallmethod find getfindentriesmethod find entri getfindmethod find getsavemethod save getupdatemethod updat istransact transact requireauthent requir authent usepermissionevalu permiss evalu getauthorizedcreateorupdaterol author creat updat role getauthorizedreadrol author read role getauthorizeddeleterol author delet role usexmlconfigur xml configur 
MTHSIG4	getfindallmethod find 
MTHSIG5	getfindentriesmethod find entri 
MTHSIG6	getfindmethod find 
MTHSIG7	getsavemethod save 
MTHSIG0	serviceannotationvalu servic annot valu physicaltypemetadata physic type metadata governorphysicaltypemetadata governor physic type metadata 
MTHSIG1	getcountallmethod count 
PACKAGE	springframework roo addon layer servic 
MTHSIG2	getdeletemethod delet 
MTHSIG3	getdomaintyp domain type 
MTHSIG10	requireauthent requir authent 
VARIABLES	governorphysicaltypemetadata governor physic type metadata countallmethod count deletemethod delet domaintyp domain type findallmethod find findentriesmethod find entri findmethod find savemethod save transact updatemethod updat requireauthent requir authent usepermissionevalu permiss evalu authorizedcreateorupdaterol author creat updat role authorizedreadrol author read role authorizeddeleterol author delet role usexmlconfigur xml configur 
MTHSIG8	getupdatemethod updat 
MTHSIG9	istransact transact 
