VARSIG6	commentstructur comment structur commentstructur comment structur 
VARSIG3	javasymbolnam symbol attributenam attribut 
VARSIG2	annotationattributevalu annot attribut 
VARSIG5	annotationattributevalu annot attribut 
VARSIG4	attributenam attribut 
COMMENTS	implement link annotationmetadata annot metadata constructor annotationtyp annot type type annot metadata requir attributevalu attribut valu annot annot valu 
CLASSES	defaultannotationmetadata annot metadata 
VARSIG1	list annotationattributevalu annot attribut attributevalu attribut valu 
VARSIG0	javatyp type annotationtyp annot type 
METHODS	defaultannotationmetadata annot metadata getannotationtyp annot type getattribut attribut getattribut attribut getattributenam attribut name getcommentstructur comment structur setcommentstructur set comment structur tostr 
MTHSIG4	getattributenam attribut name 
MTHSIG5	getcommentstructur comment structur 
MTHSIG6	setcommentstructur set comment structur commentstructur comment structur commentstructur comment structur 
MTHSIG7	tostr 
MTHSIG0	defaultannotationmetadata annot metadata javatyp type annotationtyp annot type list annotationattributevalu annot attribut attributevalu attribut valu 
MTHSIG1	getannotationtyp annot type 
PACKAGE	springframework roo classpath detail annot 
MTHSIG2	getattribut attribut javasymbolnam symbol attributenam attribut 
MTHSIG3	getattribut attribut attributenam attribut 
VARIABLES	annotationtyp annot type attributevalu attribut valu attributenam attribut attributenam attribut commentstructur comment structur annotationtyp annot type attributemap attribut map attribut commentstructur comment structur result builder 
