VARSIG7	result 
VARSIG6	result 
VARSIG9	testcom test comment 
VARSIG8	result 
VARSIG3	annotationmetadata annot metadata annot 
VARSIG2	classorinterfacetypedetail type detail ptd 
MTHSIG22	saveresult save result file orgininalfil orginin file result 
VARSIG5	result 
VARSIG4	result 
COMMENTS	function test link javaparsertypeparsingservic parser type pars servic updateandgetcompilationunitcont updat compil unit content springframework roo classpath detail classorinterfacetypedetail type detail fixtur set invok set invok set invok invok set invok set invok set invok set invok set invok set invok set invok invok check header check declar check field check constructor xxx support variabl spring rooo simpleclass simpl param asserttru result simpleclass simpl param xxx javapars parser asserttru result comment inlin inlin check declar check methodvoid check content check declar check subclass xxx javapars parser asserttru result comment inlin xxx javapars parser asserttru result comment inlin elseif xxx javapars parser asserttru result comment inlin check newlist list check header check declar asserttru result author disid technolog check newlist list check liststat list check header check declar check check check check set string check map string doubl check map string doubl check check import asserttru result comment 
VARSIG1	fieldmetadata field metadata field 
VARSIG0	classorinterfacetypedetail type detail ptd 
VARSIG17	result 
MTHSIG4	testsimpleinterfacevoidfil test simpl file 
VARSIG12	file file 
MTHSIG5	testsimpleclassnochang test simpl 
VARSIG11	pathnam 
MTHSIG6	testsimpleclass nochang test simpl 
VARSIG10	result 
MTHSIG7	testsimpleclass nochang test simpl 
MTHSIG0	setup set 
VARSIG16	file orgininalfil orginin file 
MTHSIG1	testsimpleinterfacenochang test simpl 
VARSIG15	suffix 
PACKAGE	springframework roo classpath antlrjavapars 
MTHSIG2	testenumnochang test 
VARSIG14	result 
MTHSIG3	testenumaddel test add element 
VARSIG13	file orgininalfil orginin file 
MTHSIG20	getresourcecont resourc content file file 
MTHSIG21	saveresult save result file orgininalfil orginin file result suffix 
MTHSIG8	testregres test regres roo 
MTHSIG9	testsimpleclassaddfield test simpl add field 
MTHSIG17	checksimpleinterfac check simpl result testcom test comment 
MTHSIG18	checkenum check result 
MTHSIG15	checksimpl class check simpl result 
MTHSIG16	check roo result 
MTHSIG13	checksimpleclass check simpl result 
MTHSIG14	checksimpl class check simpl result 
MTHSIG11	addfield add field classorinterfacetypedetail type detail ptd fieldmetadata field metadata field 
MTHSIG12	addannot add annot classorinterfacetypedetail type detail ptd annotationmetadata annot metadata annot 
CLASSES	newupdatecompilationunittest updat compil unit test 
METHODS	setup set testsimpleinterfacenochang test simpl testenumnochang test testenumaddel test add element testsimpleinterfacevoidfil test simpl file testsimpleclassnochang test simpl testsimpleclass nochang test simpl testsimpleclass nochang test simpl testregres test regres roo testsimpleclassaddfield test simpl add field testsimpleclassaddannot test simpl add annot addfield add field addannot add annot checksimpleclass check simpl checksimpl class check simpl checksimpl class check simpl check roo checksimpleinterfac check simpl checkenum check getresourc resourc getresourcecont resourc content saveresult save result saveresult save result 
MTHSIG19	getresourc resourc pathnam 
MTHSIG10	testsimpleclassaddannot test simpl add annot 
VARIABLES	ptd field ptd annot result result result result result testcom test comment result pathnam file orgininalfil orginin file result suffix orgininalfil orginin file result simpl file path simpl file path simpl file path simpl file path roo roo file path file path simpl type simpl type simpl type simpl type roo roo type type simpl declar mid simpl declar mid simpl declar mid simpl declar mid roo roo declar mid declar mid mockmetadataservic mock metadata servic mocktypelocationservic mock type locat servic typeparsingservic type pars servic file filecont file content simpleinterfacedetail simpl detail result file filecont file content simpleinterfacedetail simpl detail result simpleinterfacedetail simpl detail file filecont file content filepath file path enumdetail detail result cidbuild cid builder enumdetail detail result result file filecont file content simpleinterfacedetail simpl detail voidfil file result file filecont file content simpleinterfacedetail simpl detail result file filecont file content simpleinterfacedetail simpl detail result file filecont file content simpleinterfacedetail simpl detail result file filecont file content simpleinterfacedetail simpl detail result file filecont file content simpleinterfacedetail simpl detail fieldbuild field builder newsimpleinterfacedetail simpl detail result file filecont file content simpleinterfacedetail simpl detail annotationbuild annot builder newsimpleinterfacedetail simpl detail result simpleinterfacedetail simpl detail result result cidbuild cid builder cidbuild cid builder re resultfil result file 
