VARSIG7	password 
VARSIG6	usernam user 
VARSIG9	persistenceunit persist unit 
VARSIG8	transactionmanag transact manag 
VARSIG3	applicationid applic 
VARSIG2	jndi 
VARSIG5	databasenam databas 
VARSIG4	hostnam host 
COMMENTS	jpa configur entiti oper respons manag jpa artifact meta inf persist xml applicationcontext applic context xml databas properti project pom xml ormprovid orm provid orm provid select hibern openjpa open jpa eclipselink link databas databas hsql mysql sql jndi jndi datasourc applicationid applic googl app engin applic identifi default project project hostnam host host databas databasenam databas databas usernam user usernam connect databas password password connect databas transactionmanag transact manag transact manag defin applicationcontext applic context xml file persistenceunit persist unit persist unit defin persist xml file modulenam modul jpa instal focus modul modul focu check exist meta inf persist xml meta inf persist xml exist creat jpa embedd embedd requir serializ link serializ creat entiti entiti requir createabstract creat entiti superclass entiti implementstyp type implement annot entiti entiti annot creat jpa identifi identifiertyp identifi type identifi type identifierfield identifi field identifi field identifiercolumn identifi column identifi column 
VARSIG19	identifierfield identifi field 
VARSIG1	jdbcdatabas jdbc databas databas 
VARSIG18	javatyp type identifiertyp identifi type 
VARSIG0	ormprovid orm provid ormprovid orm provid 
VARSIG17	list annotationmetadatabuild annot metadata builder annot 
MTHSIG4	ispersistentclassavail persist 
VARSIG12	serializ 
MTHSIG5	newembeddableclass embedd javatyp type serializ 
VARSIG11	javatyp type 
MTHSIG6	newent entiti javatyp type createabstract creat javatyp type superclass javatyp type implementstyp type list annotationmetadatabuild annot metadata builder annot 
VARSIG10	modulenam modul 
MTHSIG7	newidentifi identifi javatyp type identifiertyp identifi type identifierfield identifi field identifiercolumn identifi column 
MTHSIG0	configurejpa configur jpa ormprovid orm provid ormprovid orm provid jdbcdatabas jdbc databas databas jndi applicationid applic hostnam host databasenam databas usernam user password transactionmanag transact manag persistenceunit persist unit modulenam modul 
VARSIG16	javatyp type implementstyp type 
MTHSIG1	getdatabaseproperti databas properti 
VARSIG15	javatyp type superclass 
PACKAGE	springframework roo addon jpa 
MTHSIG2	hasdatabaseproperti databas properti 
VARSIG14	createabstract creat 
MTHSIG3	isjpainstallationposs jpa instal 
VARSIG13	javatyp type 
CLASSES	jpaoper jpa oper 
METHODS	configurejpa configur jpa getdatabaseproperti databas properti hasdatabaseproperti databas properti isjpainstallationposs jpa instal ispersistentclassavail persist newembeddableclass embedd newent entiti newidentifi identifi 
VARSIG20	identifiercolumn identifi column 
VARIABLES	ormprovid orm provid databas jndi applicationid applic hostnam host databasenam databas usernam user password transactionmanag transact manag persistenceunit persist unit modulenam modul serializ createabstract creat superclass implementstyp type annot identifiertyp identifi type identifierfield identifi field identifiercolumn identifi column 
