VARSIG7	urisyntaxexcept uri syntax except 
VARSIG6	illegalstateexcept illeg except 
VARSIG9	antpathexpress ant path express 
VARSIG8	bundlecontext bundl context context 
VARSIG3	bundlecontext bundl context context 
VARSIG2	bundl bundl 
VARSIG5	bundl bundl 
VARSIG4	path 
COMMENTS	util method relat osgi properti store roo work directori root path osgi bundl execut callback bundl context callback context search bundl context entri path context bundl search path path resourc locat link bundl getentri entri foo txt find foo txt root bundl failur set entri entri search success resourc simpli collect uri avoid duplic collect url can simpli set url url equal broken haven url add bundl uninstal ignor url can convert uri ignor return uri entri bundl url match ant style path context context bundl search antpathexpress ant path express pattern match url requir search can perform set antpathmatch ant path matcher match collect uri avoid duplic collect url can simpli set url url equal broken url can convert uri ignor bundl uninstal ignor return roo work directori osgi compon context componentcontext compon context compon context requir path roo work directori constructor prevent instanti 
CLASSES	osgiutil util 
VARSIG1	bundlecontext bundl context context 
VARSIG0	bundlecallback bundl callback callback 
METHODS	execut findentriesbypath find entri path findentriesbypattern find entri pattern getrooworkingdirectori roo work directori osgiutil util 
MTHSIG4	osgiutil util 
VARSIG12	illegalstateexcept illeg except 
VARSIG11	urisyntaxexcept uri syntax except 
VARSIG10	bundl bundl 
MTHSIG0	execut bundlecallback bundl callback callback bundlecontext bundl context context 
MTHSIG1	findentriesbypath find entri path bundlecontext bundl context context path 
PACKAGE	springframework roo support osgi 
MTHSIG2	findentriesbypattern find entri pattern bundlecontext bundl context context antpathexpress ant path express 
MTHSIG3	getrooworkingdirectori roo work directori componentcontext compon context componentcontext compon context 
VARSIG13	componentcontext compon context componentcontext compon context 
VARIABLES	callback context bundl context path bundl context antpathexpress ant path express bundl componentcontext compon context path matcher roo work directori properti root path bundl url uri url uri url uri enumer url uri 
