VARSIG39	projectnam project 
MTHSIG4	createsimpleaddon creat simpl addon javapackag toplevelpackag top level descript projectnam project 
VARSIG34	localestr local str 
MTHSIG5	createwrapperaddon creat wrapper addon javapackag toplevelpackag top level groupid group artifactid artifact version vendornam vendor lincenseurl lincens url docurl doc url osgiimport osgi import descript projectnam project 
VARSIG33	projectnam project 
MTHSIG6	geterrormsg error msg localestr local str 
VARSIG32	descript 
MTHSIG7	instal targetfilenam target filenam javapackag toplevelpackag top level path path type type projectnam project 
VARSIG31	osgiimport osgi import 
MTHSIG0	activ componentcontext compon context context 
VARSIG38	type type 
MTHSIG1	createadvancedaddon creat advanc addon javapackag toplevelpackag top level descript projectnam project 
VARSIG37	path path 
PACKAGE	springframework roo addon creator 
MTHSIG2	createi naddon creat addon javapackag toplevelpackag top level languag local local file messagebundl messag bundl file flaggraph flag graphic descript projectnam project 
VARSIG36	javapackag toplevelpackag top level 
MTHSIG3	createproject creat project javapackag toplevelpackag top level type type descript projectnam project 
VARSIG35	targetfilenam target filenam 
MTHSIG8	installflaggraph instal flag graphic local local packagepath path 
VARSIG30	docurl doc url 
MTHSIG9	isaddoncreateposs addon creat 
CLASSES	creatoroperationsimpl creator oper impl 
VARSIG29	lincenseurl lincens url 
VARSIG28	vendornam vendor 
METHODS	activ createadvancedaddon creat advanc addon createi naddon creat addon createproject creat project createsimpleaddon creat simpl addon createwrapperaddon creat wrapper addon geterrormsg error msg instal installflaggraph instal flag graphic isaddoncreateposs addon creat writepomfil write pom file writetextfil write text file 
VARSIG23	projectnam project 
VARSIG22	descript 
VARSIG21	javapackag toplevelpackag top level 
VARSIG20	projectnam project 
VARSIG27	version 
VARSIG26	artifactid artifact 
VARSIG25	groupid group 
VARSIG24	javapackag toplevelpackag top level 
VARSIG7	file messagebundl messag bundl 
VARSIG6	local local 
VARSIG9	descript 
VARSIG8	file flaggraph flag graphic 
VARSIG3	projectnam project 
VARSIG2	descript 
VARSIG5	languag 
VARSIG4	javapackag toplevelpackag top level 
COMMENTS	implement link creatoroper creator oper type project creat simpl addon advanc addon languag bundl osgi wrapper osgi librari read templat insert user user output file user creat root file project maven pom readm txt toplevelpackag top level top level project creat requir type type project creat requir descript descript pom blank projectnam project blank sanitis version top level project load pom templat popul input write pom disk write root file destin assembl xml adjust roo annot read templat insert user user output file user retriev icon file write maven pom disk pom pom write requir 
VARSIG19	descript 
VARSIG1	javapackag toplevelpackag top level 
VARSIG18	type type 
VARSIG0	componentcontext compon context context 
VARSIG17	javapackag toplevelpackag top level 
VARSIG12	word 
VARSIG11	 
VARSIG10	projectnam project 
VARSIG16	ioexcept except ioe 
VARSIG15	ioexcept except 
VARSIG14	word 
VARSIG13	ioexcept except 
MTHSIG11	writetextfil write text file fullpathfromroot full path root messag 
VARSIG45	fullpathfromroot full path root 
VARSIG44	document pom 
VARSIG43	ioexcept except 
VARSIG42	packagepath path 
VARSIG47	ioexcept except ioe 
VARSIG46	messag 
MTHSIG10	writepomfil write pom file document pom 
VARIABLES	context toplevelpackag top level descript projectnam project toplevelpackag top level languag local messagebundl messag bundl flaggraph flag graphic descript projectnam project word word ioe toplevelpackag top level type descript projectnam project toplevelpackag top level descript projectnam project toplevelpackag top level groupid group artifactid artifact version vendornam vendor lincenseurl lincens url docurl doc url osgiimport osgi import descript projectnam project localestr local str targetfilenam target filenam toplevelpackag top level path type projectnam project ioe local packagepath path pom fullpathfromroot full path root messag ioe type icon set url pom xml filemanag file manag pathresolv path resolv projectoper project oper httpservic http servic iconseturl icon set url inputstream input stream split langword lang langword lang builder languagenam languag packagepath path outputstream output stream destinationfil destin file templateinputstream templat input stream input mutablefil mutabl file templateinputstream templat input stream pom root wrappergroupid wrapper group templateinputstream templat input stream pom root config description descript toplevelpackagenam top level packagepath path destinationfil destin file templateinputstream templat input stream outputstream output stream input mutablefil mutabl file success countrycod countri code bi zi entri expectedentrynam expect entri target outputstream output stream rootpath root path pomfil pom file path mutablefil mutabl file outputstream output stream 
VARSIG41	local local 
VARSIG40	ioexcept except ioe 
