VARSIG7	javatyp type targetent target entiti 
VARSIG6	methodidentifi identifi 
VARSIG9	autowir 
VARSIG8	javatyp type idtyp type 
VARSIG3	javatyp type idtyp type 
VARSIG2	javatyp type targetent target entiti 
VARSIG5	callermid caller mid 
VARSIG4	methodparamet paramet methodparamet paramet 
COMMENTS	link springframework roo classpath layer layerprovid layer provid applic applic servic layer check servic layer check entiti plural form loop servic interfac claim support target entiti valu rooservic roo servic annot servic check implement servic servic addit caller addit servic entiti provid return addit caller order invok domain entiti callermid caller mid caller caller metadata requir methodnam invok requir serviceinterfac servic domain servic type requir parameternam paramet name name paramet pass caller set addit support servic builder add autowir field type servic add set type servic gener addit object includ call setter unit test 
VARSIG19	serviceinterfaceloc servic locat serviceinterfaceloc servic locat 
VARSIG1	methodidentifi identifi 
VARSIG18	serviceannotationvaluesfactori servic annot valu factori serviceannotationvaluesfactori servic annot valu factori 
VARSIG0	callermid caller mid 
VARSIG17	metadataservic metadata servic metadataservic metadata servic 
MTHSIG4	setmetadataservic set metadata servic metadataservic metadata servic metadataservic metadata servic 
VARSIG12	callermid caller mid 
MTHSIG5	setserviceannotationvaluesfactori set servic annot valu factori serviceannotationvaluesfactori servic annot valu factori serviceannotationvaluesfactori servic annot valu factori 
VARSIG11	classorinterfacetypedetail type detail serviceinterfac servic 
MTHSIG6	setserviceinterfaceloc set servic locat serviceinterfaceloc servic locat serviceinterfaceloc servic locat 
VARSIG10	methodparamet paramet methodparamet paramet 
MTHSIG0	getlayerposit layer posit 
VARSIG16	autowir 
MTHSIG1	getmembertypeaddit member type addit callermid caller mid methodidentifi identifi javatyp type targetent target entiti javatyp type idtyp type methodparamet paramet methodparamet paramet 
VARSIG15	list methodparamet paramet paramet 
PACKAGE	springframework roo addon layer servic 
MTHSIG2	getmembertypeaddit member type addit callermid caller mid methodidentifi identifi javatyp type targetent target entiti javatyp type idtyp type autowir methodparamet paramet methodparamet paramet 
VARSIG14	javatyp type serviceinterfac servic 
MTHSIG3	getmethodaddit addit callermid caller mid methodnam javatyp type serviceinterfac servic list methodparamet paramet paramet autowir 
VARSIG13	methodnam 
CLASSES	servicelayerprovid servic layer provid 
METHODS	getlayerposit layer posit getmembertypeaddit member type addit getmembertypeaddit member type addit getmethodaddit addit setmetadataservic set metadata servic setserviceannotationvaluesfactori set servic annot valu factori setserviceinterfaceloc set servic locat 
VARIABLES	callermid caller mid methodidentifi identifi targetent target entiti idtyp type methodparamet paramet callermid caller mid methodidentifi identifi targetent target entiti idtyp type autowir methodparamet paramet serviceinterfac servic callermid caller mid methodnam serviceinterfac servic paramet autowir metadataservic metadata servic serviceannotationvaluesfactori servic annot valu factori serviceinterfaceloc servic locat metadataservic metadata servic serviceannotationvaluesfactori servic annot valu factori serviceinterfaceloc servic locat typelocationservic type locat servic parametertyp paramet type pluralid plural pluralmetadata plural metadata annotationvalu annot valu methodnam methodaddit addit cidbuild cid builder fieldnam field setmethodnam set parametertyp paramet type parameternam paramet name bodybuild bodi builder setsevicemethod set sevic 
