VARSIG3	isstat 
VARSIG2	modifi 
VARSIG4	bodi 
COMMENTS	implement link initializermetadata initi metadata mandat initializermetadatabuild initi metadata builder 
CLASSES	defaultinitializermetadata initi metadata 
VARSIG1	declaredbymetadataid declar metadata 
VARSIG0	customdata custom data customdata custom data 
METHODS	defaultinitializermetadata initi metadata getbodi bodi isstat tostr 
MTHSIG0	defaultinitializermetadata initi metadata customdata custom data customdata custom data declaredbymetadataid declar metadata modifi isstat bodi 
MTHSIG1	getbodi bodi 
PACKAGE	springframework roo classpath detail 
MTHSIG2	isstat 
MTHSIG3	tostr 
VARIABLES	customdata custom data declaredbymetadataid declar metadata modifi isstat bodi bodi isstat builder 
