VARSIG3	javapackag otherpackag 
VARSIG2	object obj 
COMMENTS	immut represent formal refer requir construct javapackag fulli qualifi enforc rule list link javasymbolnam symbol assertjavanameleg legal fullyqualifiedpackagenam fulli qualifi rule mandatori return element packag fulli qualifi empti list fulli qualifi compli rule constructor return element fulli qualifi blank element foo foo foo bar foo foo foo bar otherpackag check 
CLASSES	javapackag 
VARSIG1	javapackag 
VARSIG0	fullyqualifiedpackagenam fulli qualifi 
METHODS	javapackag compareto compar equal getel element getfullyqualifiedpackagenam fulli qualifi getlastel element hashcod hash code iswithin tostr 
MTHSIG4	getfullyqualifiedpackagenam fulli qualifi 
MTHSIG5	getlastel element 
MTHSIG6	hashcod hash code 
MTHSIG7	iswithin javapackag otherpackag 
MTHSIG0	javapackag fullyqualifiedpackagenam fulli qualifi 
MTHSIG1	compareto compar javapackag 
PACKAGE	springframework roo model 
MTHSIG2	equal object obj 
MTHSIG3	getel element 
VARIABLES	fullyqualifiedpackagenam fulli qualifi obj otherpackag fullyqualifiedpackagenam fulli qualifi element 
MTHSIG8	tostr 
