VARSIG7	javatyp type aspectnam aspect 
VARSIG6	metadataidentificationstr metadata identif 
VARSIG9	itdfilenam filenam 
VARSIG8	physicaltypemetadata physic type metadata governorphysicaltypemetadata governor physic type metadata 
VARSIG3	componentcontext compon context context 
VARSIG2	logicalpath logic path path 
VARSIG5	itdtypedetail type detail itdtypedetail type detail 
VARSIG4	metadataidentificationstr metadata identif 
COMMENTS	implement link webjsonmetadataprovid web json metadata provid map entiti id webjsonmetadata web json metadata check relev layer compon appear chang disappear check relev mvc control appear chang disappear pars annot expect lookup form back object object metadata inform depend metadata maintain list entiti test type layer compon repositori servic return webjsonmetadata web json metadata domain type manag layer compon json governortypedetail governor type detail type check requir type web mvc control return webjsonmetadata web json metadata form back type ensur requir layer compon inject workaround aspect handl multipl itd introduc field layer compon governortypedetail governor type detail type check requir notifi chang mvc control back object produc webjsonmetadata web json metadata refresh ensur introduc requir layer compon web json introduc requir layer compon servic repositori aspect field introduc governor governor control requir mvc creat introduc requir layer compon 
VARSIG1	javatyp type javatyp type 
VARSIG0	componentcontext compon context context 
MTHSIG4	getitduniquenessfilenamesuffix uniqu filenam suffix 
VARSIG12	classorinterfacetypedetail type detail governortypedetail governor type detail 
MTHSIG5	getlocalmidtorequest local mid request itdtypedetail type detail itdtypedetail type detail 
VARSIG11	javatyp type domaintyp domain type 
MTHSIG6	getmetadata metadata metadataidentificationstr metadata identif javatyp type aspectnam aspect physicaltypemetadata physic type metadata governorphysicaltypemetadata governor physic type metadata itdfilenam filenam 
VARSIG10	classorinterfacetypedetail type detail governortypedetail governor type detail 
MTHSIG7	getprovidestyp type 
MTHSIG0	activ componentcontext compon context context 
MTHSIG1	createlocalidentifi creat local identifi javatyp type javatyp type logicalpath logic path path 
PACKAGE	springframework roo addon web mvc control json 
MTHSIG2	deactiv componentcontext compon context context 
MTHSIG3	getgovernorphysicaltypeidentifi governor physic type identifi metadataidentificationstr metadata identif 
VARSIG13	physicaltypemetadata physic type metadata governor 
MTHSIG8	getwebjsonmidiflayercompon web json mid layer compon classorinterfacetypedetail type detail governortypedetail governor type detail 
MTHSIG9	getwebjsonmidifmvccontrol web json mid mvc control classorinterfacetypedetail type detail governortypedetail governor type detail 
CLASSES	webjsonmetadataproviderimpl web json metadata provid impl 
METHODS	activ createlocalidentifi creat local identifi deactiv getgovernorphysicaltypeidentifi governor physic type identifi getitduniquenessfilenamesuffix uniqu filenam suffix getlocalmidtorequest local mid request getmetadata metadata getprovidestyp type getwebjsonmidiflayercompon web json mid layer compon getwebjsonmidifmvccontrol web json mid mvc control introducelayercompon introduc layer compon 
MTHSIG10	introducelayercompon introduc layer compon physicaltypemetadata physic type metadata governor 
VARIABLES	context javatyp type path context metadataidentificationstr metadata identif itdtypedetail type detail metadataidentificationstr metadata identif aspectnam aspect governorphysicaltypemetadata governor physic type metadata itdfilenam filenam governortypedetail governor type detail domaintyp domain type governortypedetail governor type detail governor webmetadataservic web metadata servic managedentitytyp manag entiti type javatyp type path governortypedetail governor type detail localmidforlayermanagedent local mid layer manag entiti annotationvalu annot valu jsonobject json object jsontypedetail json type detail jsonobjectpath json object path jsonmetadata json metadata backingobjectphysicaltypemetadata back object physic type metadata formbackingobjectmemberdetail form back object member detail backingmemberholdingtypedetail back member hold type detail finderdetail finder detail persistenceaddit persist addit javatypepersistencemetadatadetail type persist metadata detail pluralmetadata plural metadata webjsonmetadataid web json metadata controllerannot control annot formbackingtyp form back type webjsonmetadataid web json metadata 
