VARSIG7	actionconfig action config config 
VARSIG6	commandtransform command transform commandtrafo command trafo 
VARSIG3	componentcontext compon context context 
VARSIG2	componentcontext compon context context 
VARSIG5	logmsg log msg 
VARSIG4	level level 
COMMENTS	execut link abstractshel shell trigger execut configur action inheritdoc valid comment pars tailor except happen explicit inject support api compat st shell 
CLASSES	defaulttailorimpl tailor impl 
VARSIG1	except 
VARSIG0	command 
METHODS	sew activ deactiv logindevelopmentmod log develop mode execut 
MTHSIG4	execut commandtransform command transform commandtrafo command trafo 
MTHSIG0	sew command 
MTHSIG1	activ componentcontext compon context context 
PACKAGE	springframework roo addon tailor 
MTHSIG2	deactiv componentcontext compon context context 
MTHSIG3	logindevelopmentmod log develop mode level level logmsg log msg 
VARIABLES	command context context level logmsg log msg commandtrafo command trafo config actionloc action locat configloc config locat shell logger inblockcom block comment comment commandtrafo command trafo configur commandconfig command config compon 
