MTHSIG4	isabstract 
MTHSIG0	declaresfield declar field javasymbolnam symbol fieldnam field 
MTHSIG1	getenumconst constant 
PACKAGE	springframework roo classpath detail 
MTHSIG2	getregisteredimport regist import 
MTHSIG3	getsuperclass superclass 
COMMENTS	compon interfac extens link memberholdingtypedetail member hold type detail instanc implement class immut declar field fieldnam field field check field list constant type empti type constant empti explicitli regist import user wish defin type empti obtain superclass superclass return interfac isn 
CLASSES	classorinterfacetypedetail type detail 
VARIABLES	fieldnam field 
VARSIG0	javasymbolnam symbol fieldnam field 
METHODS	declaresfield declar field getenumconst constant getregisteredimport regist import getsuperclass superclass isabstract 
