VARSIG7	originaluserinput origin user input 
VARSIG6	requiredtyp requir type 
VARSIG9	methodtarget target target 
VARSIG8	optioncontext option context 
VARSIG3	optioncontext option context 
VARSIG2	requiredtyp requir type 
VARSIG5	list complet complet 
VARSIG4	componentcontext compon context context 
COMMENTS	link convert link bundlesymbolicnam bundl symbol handler servic field sole ensur start bundlesymbolicnameconvert bundl symbol convert 
VARSIG1	 
VARSIG0	componentcontext compon context context 
MTHSIG4	support requiredtyp requir type optioncontext option context 
VARSIG12	resourc resourc 
VARSIG11	repositori repositori 
VARSIG10	bundl bundl 
MTHSIG0	activ componentcontext compon context context 
MTHSIG1	convertfromtext convert text requiredtyp requir type optioncontext option context 
PACKAGE	springframework roo felix 
MTHSIG2	deactiv componentcontext compon context context 
VARSIG14	optioncontext option context 
MTHSIG3	getallpossiblevalu valu list complet complet requiredtyp requir type originaluserinput origin user input optioncontext option context methodtarget target target 
VARSIG13	requiredtyp requir type 
CLASSES	bundlesymbolicnameconvert bundl symbol convert 
METHODS	activ convertfromtext convert text deactiv getallpossiblevalu valu support 
VARIABLES	context requiredtyp requir type optioncontext option context context complet requiredtyp requir type originaluserinput origin user input optioncontext option context target bundl repositori resourc requiredtyp requir type optioncontext option context context handlerservic handler servic repositoryadmin repositori admin local obr bundl bsn repositori resourc 
