VARSIG7	layerposit layer posit 
VARSIG6	javatyp type idtyp type 
VARSIG9	metadataidentificationstr metadata identif 
VARSIG8	collect methodparamet paramet methodparamet paramet 
VARSIG3	metadataidentificationstr metadata identif 
VARSIG2	layerprovid layer provid provid 
VARSIG5	javatyp type targetent target entiti 
VARSIG4	methodidentifi identifi 
COMMENTS	link layerservic layer servic implement sort link layerprovid layer provid descend order posit mutex 
VARSIG19	javatyp type idtyp type 
VARSIG1	layerprovid layer provid provid provid 
VARSIG18	javatyp type targetent target entiti 
VARSIG0	layerprovid layer provid provid provid 
VARSIG17	methodidentifi identifi 
MTHSIG4	getmembertypeaddit member type addit metadataidentificationstr metadata identif methodidentifi identifi javatyp type targetent target entiti javatyp type idtyp type layerposit layer posit autowir methodparamet paramet methodparamet paramet 
VARSIG12	javatyp type idtyp type 
MTHSIG5	unbindlayerprovid unbind layer provid layerprovid layer provid provid 
VARSIG11	javatyp type targetent target entiti 
VARSIG10	methodidentifi identifi 
MTHSIG0	bindlayerprovid bind layer provid layerprovid layer provid provid 
VARSIG16	metadataidentificationstr metadata identif 
MTHSIG1	getmembertypeaddit member type addit metadataidentificationstr metadata identif methodidentifi identifi javatyp type targetent target entiti javatyp type idtyp type layerposit layer posit collect methodparamet paramet methodparamet paramet 
VARSIG15	collect methodparamet paramet methodparamet paramet 
PACKAGE	springframework roo classpath layer 
MTHSIG2	getmembertypeaddit member type addit metadataidentificationstr metadata identif methodidentifi identifi javatyp type targetent target entiti javatyp type idtyp type layerposit layer posit autowir collect methodparamet paramet methodparamet paramet 
VARSIG14	autowir 
MTHSIG3	getmembertypeaddit member type addit metadataidentificationstr metadata identif methodidentifi identifi javatyp type targetent target entiti javatyp type idtyp type layerposit layer posit methodparamet paramet methodparamet paramet 
VARSIG13	layerposit layer posit 
VARSIG30	layerprovid layer provid provid 
CLASSES	layerserviceimpl layer servic impl 
VARSIG29	layerprovid layer provid provid 
VARSIG28	methodparamet paramet methodparamet paramet 
METHODS	bindlayerprovid bind layer provid getmembertypeaddit member type addit getmembertypeaddit member type addit getmembertypeaddit member type addit getmembertypeaddit member type addit unbindlayerprovid unbind layer provid 
VARSIG23	methodidentifi identifi 
VARSIG22	metadataidentificationstr metadata identif 
VARSIG21	methodparamet paramet methodparamet paramet 
VARSIG20	layerposit layer posit 
VARSIG27	autowir 
VARSIG26	layerposit layer posit 
VARSIG25	javatyp type idtyp type 
VARSIG24	javatyp type targetent target entiti 
VARIABLES	provid provid provid provid provid metadataidentificationstr metadata identif methodidentifi identifi targetent target entiti idtyp type layerposit layer posit methodparamet paramet metadataidentificationstr metadata identif methodidentifi identifi targetent target entiti idtyp type layerposit layer posit autowir methodparamet paramet metadataidentificationstr metadata identif methodidentifi identifi targetent target entiti idtyp type layerposit layer posit methodparamet paramet metadataidentificationstr metadata identif methodidentifi identifi targetent target entiti idtyp type layerposit layer posit autowir methodparamet paramet provid provid serialversionuid serial version uid differ mutex provid methodparametersarrai paramet arrai methodparametersarrai paramet arrai addit 
