VARSIG7	javapackag interfacepackag 
VARSIG6	usexmlconfigur xml configur 
VARSIG9	requireauthent requir authent 
VARSIG8	javapackag classpackag 
VARSIG3	requireauthent requir authent 
VARSIG2	javatyp type domaintyp domain type 
VARSIG5	usepermissionevalutor permiss evalutor 
VARSIG4	authorizedrol author role 
COMMENTS	 
CLASSES	serviceoper servic oper 
VARSIG1	javatyp type classtyp type 
VARSIG0	javatyp type interfacetyp type 
METHODS	isserviceinstallationposs servic instal issecureserviceinstallationposs secur servic instal setupservic setup servic setupallservic setup servic 
VARSIG12	usexmlconfigur xml configur 
VARSIG11	usepermissionevalutor permiss evalutor 
VARSIG10	authorizedrol author role 
MTHSIG0	isserviceinstallationposs servic instal 
MTHSIG1	issecureserviceinstallationposs secur servic instal 
PACKAGE	springframework roo addon layer servic 
MTHSIG2	setupservic setup servic javatyp type interfacetyp type javatyp type classtyp type javatyp type domaintyp domain type requireauthent requir authent authorizedrol author role usepermissionevalutor permiss evalutor usexmlconfigur xml configur 
MTHSIG3	setupallservic setup servic javapackag interfacepackag javapackag classpackag requireauthent requir authent authorizedrol author role usepermissionevalutor permiss evalutor usexmlconfigur xml configur 
VARIABLES	interfacetyp type classtyp type domaintyp domain type requireauthent requir authent authorizedrol author role usepermissionevalutor permiss evalutor usexmlconfigur xml configur interfacepackag classpackag requireauthent requir authent authorizedrol author role usepermissionevalutor permiss evalutor usexmlconfigur xml configur 
