MTHSIG4	testloginwithblankpasswordandstoredpassword test login blank password store password 
MTHSIG5	testloginwithnonblankemailnonblankpasswordandcustomurl test login blank email blank password custom url 
MTHSIG0	setup set 
MTHSIG1	testloginwithblankemailandnostoredemail test login blank email store email 
PACKAGE	springframework roo addon cloud foundri 
MTHSIG2	testloginwithblankemailandstoredemail test login blank email store email 
MTHSIG3	testloginwithblankpasswordandnostoredpassword test login blank password store password 
COMMENTS	unit test link cloudfoundrysessionimpl cloud foundri session impl fixtur set invok check set invok check set invok check set invok check set invok check 
CLASSES	cloudfoundrysessionimpltest cloud foundri session impl test 
VARIABLES	custom cloud url email password mockappcloudclientfactori mock app cloud client factori mockprefer mock prefer session mockclient mock client credenti mockclient mock client mockclient mock client credenti mockclient mock client credenti mockclient mock client 
METHODS	setup set testloginwithblankemailandnostoredemail test login blank email store email testloginwithblankemailandstoredemail test login blank email store email testloginwithblankpasswordandnostoredpassword test login blank password store password testloginwithblankpasswordandstoredpassword test login blank password store password testloginwithnonblankemailnonblankpasswordandcustomurl test login blank email blank password custom url 
