VARSIG7	resourc 
VARSIG6	collect includ 
VARSIG9	document document 
VARSIG8	object obj 
VARSIG3	filter 
VARSIG2	directori 
VARSIG5	filter 
VARSIG4	directori 
COMMENTS	simplifi immut represent maven resourc structur model maven conveni constructor xml element repres maven resourc pars requir pars includ creat immut link resourc includ directori link path directori requir filter filter occur creat immut link resourc option includ directori link path directori requir filter filter occur includ list includ return maven pom element resourc document pom document requir element 
VARSIG1	element includ 
VARSIG0	element resourc 
MTHSIG4	equal object obj 
MTHSIG5	getdirectori directori 
MTHSIG6	getel element document document 
VARSIG10	includ 
MTHSIG7	getfilt filter 
MTHSIG0	resourc element resourc 
MTHSIG1	resourc directori filter 
PACKAGE	springframework roo project 
MTHSIG2	resourc directori filter collect includ 
MTHSIG3	compareto compar resourc 
MTHSIG8	getinclud includ 
MTHSIG9	getsimpledescript simpl descript 
MTHSIG11	tostr 
CLASSES	resourc 
METHODS	resourc resourc resourc compareto compar equal getdirectori directori getel element getfilt filter getinclud includ getsimpledescript simpl descript hashcod hash code tostr 
MTHSIG10	hashcod hash code 
VARIABLES	resourc includ directori filter directori filter includ obj document includ directori filter includ directoryel directori element filteringel filter element resourceel resourc element includ builder builder 
