VARSIG3	pom pom 
VARSIG2	metadataidentificationstr metadata identif 
COMMENTS	metadata modul user user project simpl project instanc multi modul project return metadata project level metadata modul modulenam modul fulli qualifi modul separ link file separ blank root modul blank mid constructor pom pom modul project requir 
CLASSES	projectmetadata project metadata 
VARSIG1	modulenam modul 
VARSIG0	metadataidentificationstr metadata identif 
METHODS	getmodulenam modul getprojectidentifi project identifi isvalid valid projectmetadata project metadata getmodulenam modul getpom pom tostr 
MTHSIG4	getmodulenam modul 
MTHSIG5	getpom pom 
MTHSIG6	tostr 
MTHSIG0	getmodulenam modul metadataidentificationstr metadata identif 
MTHSIG1	getprojectidentifi project identifi modulenam modul 
PACKAGE	springframework roo project 
MTHSIG2	isvalid valid metadataidentificationstr metadata identif 
MTHSIG3	projectmetadata project metadata pom pom 
VARIABLES	metadataidentificationstr metadata identif modulenam modul metadataidentificationstr metadata identif pom modul separ project mid prefix pom builder 
