VARSIG7	templatenam templat 
VARSIG6	except 
VARSIG3	replac 
VARSIG2	targetdirectori target directori 
VARSIG5	except 
VARSIG4	url url 
COMMENTS	base oper class common method copi content directori resourc exist target directori sourceantpath sourc ant path sourc path targetdirectori target directori target directori 
CLASSES	abstractoper oper 
VARSIG1	sourceantpath sourc ant path 
VARSIG0	componentcontext compon context context 
METHODS	activ copydirectorycont copi directori content getdocumenttempl document templat 
MTHSIG0	activ componentcontext compon context context 
MTHSIG1	copydirectorycont copi directori content sourceantpath sourc ant path targetdirectori target directori replac 
PACKAGE	springframework roo classpath oper 
MTHSIG2	getdocumenttempl document templat templatenam templat 
VARIABLES	context sourceantpath sourc ant path targetdirectori target directori replac url templatenam templat logger filemanag file manag context path url filenam file content inputstream input stream outputstream output stream 
