VARSIG6	servicelayermethod servic layer 
VARSIG3	servicelayermethod servic layer 
VARSIG2	servicelayermethod servic layer 
VARSIG5	servicelayermethod servic layer 
VARSIG4	servicelayermethod servic layer 
COMMENTS	unit test link servicelayermethod servic layer 
VARSIG1	servicelayermethod servic layer 
VARSIG0	servicelayermethod servic layer 
MTHSIG4	testgetbodywhenlowerlayerimplementsmethod test bodi layer 
MTHSIG5	testgetnameoffindallmethodwhenannotationhasnonblanknam test find annot blank 
MTHSIG6	testgetnameoffindentriesmethodwhenannotationhasnonblanknam test find entri annot blank 
MTHSIG7	testgetnameofsavemethodwhenannotationhasnonblanknam test save annot blank 
MTHSIG0	testeachmethodhasnonnullreturntyp test type 
MTHSIG1	testeachmethodhassamenumberofparametertypesandnam test number paramet type name 
PACKAGE	springframework roo addon layer servic 
MTHSIG2	testeachmethodhasuniqueparameternam test uniqu paramet name 
MTHSIG3	testgetbodywhenlowerlayerdoesnotimplementmethod test bodi layer implement 
MTHSIG8	testgetnameofupdatemethodwhenannotationhasnonblanknam test updat annot blank 
MTHSIG9	testgetnamewhenannotationhasblanknam test annot blank 
MTHSIG11	testvalueofmethodusingwrongnam test wrong 
MTHSIG12	testvalueofmethodusingwrongparametertyp test wrong paramet type 
CLASSES	servicelayermethodtest servic layer test 
METHODS	testeachmethodhasnonnullreturntyp test type testeachmethodhassamenumberofparametertypesandnam test number paramet type name testeachmethodhasuniqueparameternam test uniqu paramet name testgetbodywhenlowerlayerdoesnotimplementmethod test bodi layer implement testgetbodywhenlowerlayerimplementsmethod test bodi layer testgetnameoffindallmethodwhenannotationhasnonblanknam test find annot blank testgetnameoffindentriesmethodwhenannotationhasnonblanknam test find entri annot blank testgetnameofsavemethodwhenannotationhasnonblanknam test save annot blank testgetnameofupdatemethodwhenannotationhasnonblanknam test updat annot blank testgetnamewhenannotationhasblanknam test annot blank testvalueofmethodusingcorrectdetail test correct detail testvalueofmethodusingwrongnam test wrong testvalueofmethodusingwrongparametertyp test wrong paramet type 
MTHSIG10	testvalueofmethodusingcorrectdetail test correct detail 
VARIABLES	type plural target entiti parameternam paramet name parametertyp paramet type paramet allparameternam paramet name distinctnam distinct name mocklowerlayeraddit mock layer addit mockannotationvalu mock annot valu mockannotationvalu mock annot valu mockannotationvalu mock annot valu mockannotationvalu mock annot valu mockannotationvalu mock annot valu 
