VARSIG7	javatyp type 
VARSIG6	permitreservedword permit reserv 
VARSIG9	field 
VARSIG8	set field 
VARSIG3	javatyp type superclass 
VARSIG2	logicalpath logic path path 
VARSIG5	createabstract creat 
VARSIG4	javatyp type implementstyp type 
COMMENTS	osgi implement link classpathoper classpath oper user suppli set field exist creat constructor search exist constructor exist constructor creat constructor check exist assum legal 
VARSIG19	javatyp type 
VARSIG1	rooannot roo annot 
VARSIG18	permitreservedword permit reserv 
VARSIG0	javatyp type 
VARSIG17	logicalpath logic path path 
MTHSIG4	enumconst constant javatyp type javasymbolnam symbol fieldnam field permitreservedword permit reserv 
VARSIG12	fieldmetadata field metadata field 
MTHSIG5	focu javatyp type type 
VARSIG11	fieldmetadata field metadata fieldmetadata field metadata 
MTHSIG6	isprojectavail project 
VARSIG10	fieldmetadata field metadata declaredfield declar field 
MTHSIG7	activ componentcontext compon context context 
MTHSIG0	createclass creat javatyp type rooannot roo annot logicalpath logic path path javatyp type superclass javatyp type implementstyp type createabstract creat permitreservedword permit reserv 
VARSIG16	javatyp type 
MTHSIG1	createconstructor creat constructor javatyp type set field 
VARSIG15	permitreservedword permit reserv 
PACKAGE	springframework roo classpath oper 
MTHSIG2	createenum creat javatyp type logicalpath logic path path permitreservedword permit reserv 
VARSIG14	logicalpath logic path path 
MTHSIG3	createinterfac creat javatyp type logicalpath logic path path permitreservedword permit reserv 
VARSIG13	javatyp type 
MTHSIG8	deactiv componentcontext compon context context 
CLASSES	classpathoperationsimpl classpath oper impl 
METHODS	createclass creat createconstructor creat constructor createenum creat createinterfac creat enumconst constant focu isprojectavail project activ deactiv 
VARSIG23	componentcontext compon context context 
VARSIG22	javatyp type type 
VARSIG21	permitreservedword permit reserv 
VARSIG20	javasymbolnam symbol fieldnam field 
VARSIG24	componentcontext compon context context 
VARIABLES	rooannot roo annot path superclass implementstyp type createabstract creat permitreservedword permit reserv field field declaredfield declar field fieldmetadata field metadata field path permitreservedword permit reserv path permitreservedword permit reserv fieldnam field permitreservedword permit reserv type context context metadataservic metadata servic pathresolv path resolv projectoper project oper staticfieldconvert field convert typelocationservic type locat servic typemanagementservic type manag servic modifi declaredbymetadataid declar metadata cidbuild cid builder superclassclassorinterfacetypedetail superclass type detail extendstyp type implementstyp type typedetail type detail annot javatypedetail type detail declaredbymetadataid declar metadata constructorfield constructor field declaredfield declar field parametertyp paramet type result parameternam paramet name bodybuild bodi builder fieldnam field constructorbuild constructor builder cidbuild cid builder physicaltypeid physic type cidbuild cid builder declaredbymetadataid declar metadata cidbuild cid builder declaredbymetadataid declar metadata physicaltypeidentifi physic type identifi ptm 
