VARSIG3	findermetadatadetails finder metadata details
VARSIG2	list fieldmetadata field metadata findermethodparamfields finder fields
VARSIG4	object obj
COMMENTS	aggregates metadata roo finder scaffolded web add ons adding fields ensure equals object updated normal convention delegating compareto compare efficiency reasons
CLASSES	findermetadatadetails finder metadata details
VARSIG1	methodmetadata metadata findermethodmetadata finder metadata
VARSIG0	findername finder
METHODS	findermetadatadetails finder metadata details compareto compare equals getfindermethodmetadata finder metadata getfindermethodparamfields finder fields getfindername finder hashcode hash code
MTHSIG4	getfindermethodparamfields finder fields
MTHSIG5	getfindername finder
MTHSIG6	hashcode hash code
MTHSIG0	findermetadatadetails finder metadata details findername finder methodmetadata metadata findermethodmetadata finder metadata list fieldmetadata field metadata findermethodparamfields finder fields
MTHSIG1	compareto compare findermetadatadetails finder metadata details
PACKAGE	springframework roo addon web mvc controller details
MTHSIG2	equals object obj
MTHSIG3	getfindermethodmetadata finder metadata
VARIABLES	findername finder findermethodmetadata finder metadata findermethodparamfields finder fields obj findermethodmetadata finder metadata findermethodparamfields finder fields findername finder cmp prime result
