VARSIG3	map xmlmap xml map
VARSIG2	list classorinterfacetypedetails type details typelist type list
COMMENTS	holder types xml files created link gwttemplateservice gwt template service
CLASSES	gwttemplatedataholder gwt template data holder
VARSIG1	map gwttype gwt type xmltemplates xml templates
VARSIG0	map gwttype gwt type classorinterfacetypedetails type details templatetypedetailsmap template type details map
METHODS	gwttemplatedataholder gwt template data holder gettemplatetypedetailsmap template type details map gettypelist type list getxmlmap xml map getxmltemplates xml templates
MTHSIG4	getxmltemplates xml templates
MTHSIG0	gwttemplatedataholder gwt template data holder map gwttype gwt type classorinterfacetypedetails type details templatetypedetailsmap template type details map map gwttype gwt type xmltemplates xml templates list classorinterfacetypedetails type details typelist type list map xmlmap xml map
MTHSIG1	gettemplatetypedetailsmap template type details map
PACKAGE	springframework roo addon gwt
MTHSIG2	gettypelist type list
MTHSIG3	getxmlmap xml map
VARIABLES	templatetypedetailsmap template type details map xmltemplates xml templates typelist type list xmlmap xml map templatetypedetailsmap template type details map typelist type list xmlmap xml map xmltemplates xml templates
