VARSIG39	clioption cli option key hostname host mandatory host hostname host
MTHSIG4	databaseset database set key
VARSIG34	clioption cli option key persistenceunit persistence unit mandatory persistence unit persistence xml file persistenceunit persistence unit
MTHSIG5	deactivate componentcontext component context context
VARSIG33	clioption cli option key transactionmanager transaction manager mandatory transaction manager transactionmanager transaction manager
MTHSIG6	getentityannotationbuilder entity annotation builder table schema catalog identifierfield identifier field identifiercolumn identifier column javatype type identifiertype identifier type versionfield version field versioncolumn version column javatype type versiontype version type inheritancetype inheritance type inheritancetype inheritance type mappedsuperclass mapped superclass persistenceunit persistence unit transactionmanager transaction manager entityname entity sequencename sequence activerecord active record
VARSIG32	clioption cli option key password mandatory password password
MTHSIG7	getentityannotationtype entity annotation type activerecord active record
VARSIG31	clioption cli option key username user mandatory username username user
MTHSIG0	activate componentcontext component context context
VARSIG38	clioption cli option key jndidatasource jndi data source mandatory jndi datasource jndi
MTHSIG1	createembeddableclass create embeddable javatype type serializable permitreservedwords permit reserved
VARSIG37	clioption cli option key applicationid application mandatory unspecifieddefaultvalue unspecified project project google app engine application identifier applicationid application
PACKAGE	springframework roo addon jpa
MTHSIG2	databaseproperties database properties
VARSIG36	clioption cli option key database mandatory database support jdbcdatabase jdbc database jdbcdatabase jdbc database
MTHSIG3	databaseremove database remove key
VARSIG35	clioption cli option key provider mandatory persistence provider support ormprovider orm provider ormprovider orm provider
MTHSIG8	hasdatabaseproperties database properties
VARSIG30	clioption cli option key databasename database mandatory database databasename database
MTHSIG9	installjpa install jpa ormprovider orm provider ormprovider orm provider jdbcdatabase jdbc database jdbcdatabase jdbc database applicationid application jndi hostname host databasename database username user password transactionmanager transaction manager persistenceunit persistence unit
CLASSES	jpacommands jpa commands
VARSIG29	clioption cli option key hostname host mandatory host hostname host
VARSIG28	clioption cli option key jndidatasource jndi data source mandatory jndi datasource jndi
METHODS	activate createembeddableclass create embeddable databaseproperties database properties databaseremove database remove databaseset database set deactivate getentityannotationbuilder entity annotation builder getentityannotationtype entity annotation type hasdatabaseproperties database properties installjpa install jpa installpersistence install persistence isjdk orhigher jdk higher isjpasetupavailable jpa setup ispersistentclassavailable persistent newpersistenceclassjpa persistence jpa
VARSIG23	activerecord active record
VARSIG67	clioption cli option key activerecord active record mandatory specifieddefaultvalue unspecifieddefaultvalue unspecified generate crud active record methods entity activerecord active record
VARSIG22	sequencename sequence
VARSIG66	clioption cli option key sequencename sequence mandatory sequence incrementing sequence driven primary sequencename sequence
VARSIG21	entityname entity
VARSIG65	clioption cli option key entityname entity mandatory refer entity queries entityname entity
VARSIG20	transactionmanager transaction manager
VARSIG64	clioption cli option key permitreservedwords permit reserved mandatory unspecifieddefaultvalue unspecified specifieddefaultvalue reserved roo permitreservedwords permit reserved
VARSIG27	clioption cli option key applicationid application mandatory unspecifieddefaultvalue unspecified project project google app engine application identifier applicationid application
VARSIG26	clioption cli option key database mandatory database support jdbcdatabase jdbc database jdbcdatabase jdbc database
VARSIG25	clioption cli option key provider mandatory persistence provider support ormprovider orm provider ormprovider orm provider
VARSIG24	activerecord active record
VARSIG63	clioption cli option key transactionmanager transaction manager mandatory transaction manager transactionmanager transaction manager
VARSIG62	clioption cli option key persistenceunit persistence unit mandatory persistence unit persistence xml file persistenceunit persistence unit
VARSIG61	clioption cli option key serializable mandatory unspecifieddefaultvalue unspecified specifieddefaultvalue generated implement serializable serializable
