MTHSIG28	isenum
MTHSIG29	isprimitive primitive
MTHSIG26	isdate
MTHSIG27	isembeddable embeddable
MTHSIG24	iscollection collection
MTHSIG25	iscollectionofproxy collection proxy
MTHSIG22	getvaluetype type
MTHSIG23	isboolean
MTHSIG4	formobilelistview mobile list view renderername renderer
MTHSIG5	getbinder binder
MTHSIG6	getcheckboxsubtype checkbox subtype
MTHSIG7	getcollectionrenderer collection renderer
MTHSIG0	getproxyrenderertype proxy renderer type javapackage toplevelpackage top level javatype type javatype type
MTHSIG1	gwtproxyproperty gwt proxy property javapackage toplevelpackage top level classorinterfacetypedetails type details ptmd javatype type type
PACKAGE	springframework roo addon gwt
MTHSIG2	gwtproxyproperty gwt proxy property javapackage toplevelpackage top level classorinterfacetypedetails type details ptmd javatype type type list annotationmetadata annotation metadata annotations getter
MTHSIG3	foreditview edit view
MTHSIG20	getsetvaluepickermethodname set picker
MTHSIG21	gettype type
MTHSIG8	getdatetimeformat time format
MTHSIG9	geteditor editor
CLASSES	gwtproxyproperty gwt proxy property
METHODS	getproxyrenderertype proxy renderer type gwtproxyproperty gwt proxy property gwtproxyproperty gwt proxy property foreditview edit view formobilelistview mobile list view getbinder binder getcheckboxsubtype checkbox subtype getcollectionrenderer collection renderer getdatetimeformat time format geteditor editor getformatter formatter getgetter getter getname getpropertytype property type getproxyrenderertype proxy renderer type getreadablename readable getrenderer renderer getseteditor set editor getseteditortype set editor type getsetvaluepickermethod set picker getsetvaluepickermethodname set picker gettype type getvaluetype type isboolean iscollection collection iscollectionofproxy collection proxy isdate isembeddable embeddable isenum isprimitive primitive isproxy proxy isstring
MTHSIG31	isstring
MTHSIG30	isproxy proxy
VARSIG7	javatype type type
VARSIG6	classorinterfacetypedetails type details ptmd
VARSIG9	list annotationmetadata annotation metadata annotations
VARSIG8	
VARSIG3	classorinterfacetypedetails type details ptmd
VARSIG2	javapackage toplevelpackage top level
VARSIG5	javapackage toplevelpackage top level
VARSIG4	javatype type type
COMMENTS	todo ugly hack
VARSIG1	javatype type javatype type
VARSIG0	javapackage toplevelpackage top level
VARSIG12	annotationmetadata annotation metadata annotation
VARSIG11	renderername renderer
VARSIG10	getter
MTHSIG17	getseteditor set editor
MTHSIG18	getseteditortype set editor type
MTHSIG15	getreadablename readable
MTHSIG16	getrenderer renderer
MTHSIG13	getpropertytype property type
MTHSIG14	getproxyrenderertype proxy renderer type
MTHSIG11	getgetter getter
MTHSIG12	getname
MTHSIG19	getsetvaluepickermethod set picker
MTHSIG10	getformatter formatter
VARIABLES	toplevelpackage top level javatype type toplevelpackage top level ptmd type toplevelpackage top level ptmd type annotations getter renderername renderer annotation annotations getter ptmd toplevelpackage top level type initializer arg format style annotation attr formatter annotation attr style typename type annotations
